"ï..Country.Name","Country.Code","Indicator.Name","Indicator.Code","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X"
"Benin","BEN","GDP per capita (current US$)","NY.GDP.PCAP.CD","93.0227002677683",95.5722322308738,94.4644972423036,99.8589175338946,104.339929434072,110.132584644972,112.940836383512,111.951560996903,116.895149769939,116.025257145892,114.556675136837,112.569975631646,134.819585121297,161.987061525057,174.014094491397,207.300312768544,208.656403182912,218.453984016706,263.58143153799,327.822312162563,378.044305113183,337.978371685285,322.777452914962,271.129844234977,252.869785044788,244.410941733101,303.349035603158,344.503146752797,346.736631300277,311.678045207701,393.68676796568,385.753840745475,317.962736015867,411.926179723246,279.666749038025,367.387714295597,387.432098183474,361.099982369469,379.441767515178,551.821429431177,512.673901962619,518.067474134696,574.929798155789,711.284954771847,798.744304503809,822.785143124704,856.054916559873,966.203618310158,1125.42613398072,1088.75790573459,1036.53451502404,1130.27325128015,1145.14010479477,1251.20976745379,1291.41018480579,1076.79669785585,1087.28733148547,1136.59387178448,1241.82529800958,1219.51550596905,1291.04097215441,NA
"Burkina Faso","BFA","GDP per capita (current US$)","NY.GDP.PCAP.CD","68.4247344006247",71.558180092437,76.520549314543,78.3721958330329,80.4727181207385,81.7250523247925,82.545684006557,84.3630702039477,84.7329371553071,86.5202091318263,81.5000146010762,84.2878285843207,99.326746973691,113.780341433982,124.358896430637,152.727996774912,155.649056863891,176.783350963439,225.941517814401,262.076009642159,282.685850096209,254.230468740772,245.09449089523,217.994602363453,193.843273138253,200.8943517994,256.762480687544,291.131616653547,313.061591382782,304.85352087584,351.979233521781,346.410595888327,361.046875627391,334.943236997182,193.070280195262,235.832150553486,249.360558855403,229.492949313014,255.718236662883,300.421723896109,255.718687257319,267.097599629023,294.665388546593,374.627357970473,418.37666028192,457.933430763383,473.449868166334,535.062279451535,643.404581023036,624.175164544582,647.836095537879,751.172770411005,758.000426972403,787.469438309085,792.84623742527,653.32726813947,688.250696258197,734.996267960528,804.500537821516,796.115206827676,857.932729650223,NA
"Cote d'Ivoire","CIV","GDP per capita (current US$)","NY.GDP.PCAP.CD","155.899632793964",170.243050474462,171.128639637282,194.212529845992,226.227041791045,217.60244145006,233.614905479198,238.310487673876,271.853345495868,277.972127908897,285.273034325563,297.280360552613,331.670010106764,429.412933747764,501.552678161048,607.235001739293,694.383247143566,891.634602258471,1074.86200816112,1189.56839662251,1266.62387688845,1004.63437278325,863.333432585532,747.756181947221,717.897667480131,703.519515159779,888.528580547471,942.931007506008,924.327245161761,848.289544332952,905.322019526304,848.75311593867,870.480701711964,832.28305872577,605.26336693829,774.671375725252,1232.25365555692,1192.77946057089,1258.52471003781,1177.04079411995,1007.4673895039,997.478784301277,1047.75226537338,1207.51264780798,1308.2878198271,1309.59165282851,1347.98882431013,1500.16780515301,1738.19210063268,1689.3447616219,1701.47570153035,1744.93889692888,1684.78158627038,1935.946845307,2156.64588308951,1972.54568305836,2013.38144761651,2111.02655726645,2314.05095836881,2276.3323939018,2325.72370502247,NA
"Cabo Verde","CPV","GDP per capita (current US$)","NY.GDP.PCAP.CD","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501.13749449253,483.126925500872,477.939256518055,461.239997091499,431.237554822691,441.90662888927,602.158496333097,732.5632731235,811.398338220042,807.562392379273,908.08812841442,923.744280787787,1003.92954109172,1339.72957676692,1080.15656461598,1261.10309803336,1269.12057723296,1213.6328637989,1265.1978495826,1408.98620321479,1259.35306724402,1292.22651152195,1401.89107297649,1809.11002984768,2024.26638129338,2099.14841708582,2361.38010115423,3186.77993467023,3721.21999284574,3517.43015558829,3378.3234334576,3740.37410269948,3447.48310007387,3616.03556968932,3588.62558418407,3043.03138156811,3130.99875340636,3289.90220261281,3616.46453749713,3603.77524058462,3064.27238842819,NA
"Ghana","GHA","GDP per capita (current US$)","NY.GDP.PCAP.CD","183.449589798303",190.218882959143,195.492397739104,211.064567779218,230.088779524821,265.323688785998,267.748224961421,214.832148179068,200.307093967715,230.287227006016,253.566621870168,269.368235183225,228.859732843471,259.701843708917,296.890023865613,281.40612646801,271.125578261918,306.809965032651,345.834422933824,372.060120787553,402.060707757631,372.077443492073,345.641333225008,337.163348168986,355.666703674849,352.352714371426,435.068187671321,374.470341506465,372.683979564575,365.889682671763,398.637081088931,433.773264764704,409.746389786379,370.419454924392,328.744526865007,379.987984916879,397.135754957028,384.7963283302,407.523237017857,410.334011559612,258.471039929679,269.014984764581,304.564635977066,367.821362113662,417.508066727662,492.54405617264,913.393849309942,1081.16631826269,1217.06443549146,1077.66205832571,1299.34521164062,1549.46271883345,1587.56093185809,2361.09032388366,2012.26424719728,1774.07477092508,1971.95693464599,2074.29073272269,2260.86056729337,2246.62557816432,2205.5290158584,NA
"Guinea","GIN","GDP per capita (current US$)","NY.GDP.PCAP.CD","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354.421365033579,351.909045501736,398.546152799461,394.331142350975,419.809870822721,461.375312462986,489.07160407065,475.426316994835,477.762459236542,508.101516144618,518.365662598199,493.82216135084,456.491484139533,429.719692321206,363.482279266615,336.154020658897,343.602631207699,393.739689850048,407.300975937447,322.415540033465,453.403713310942,659.992930975674,715.096526700444,674.085482596146,672.424930359396,651.136113367998,717.050535937992,769.003166697833,787.238564407157,769.255475432822,732.291511901662,855.575270552124,955.111281136711,1058.14336817356,1194.03786469445,NA
"Gambia","GMB","GDP per capita (current US$)","NY.GDP.PCAP.CD","",NA,NA,NA,NA,NA,106.413224524113,109.453715832487,93.8476904866439,100.101772717037,112.610650962067,116.561199765288,120.143504369715,148.174657143106,183.081764857947,213.306892087546,201.124878510292,239.433109984871,288.055777320372,335.804890876779,378.312989037587,332.680606319744,318.607862075407,304.837435369796,244.373342167364,298.660412324448,234.656286788678,265.491653208935,305.313617683872,310.299337281427,331.817740281771,695.410988509787,695.155371515626,711.726180956623,682.214156931891,696.449584292581,728.669071886674,669.401095968637,678.676178340413,637.939062861631,594.149388499649,505.421636114705,411.771893943142,335.906216950504,642.756218338464,665.720215700547,662.362877179135,780.381050920518,924.509874593614,833.28136036521,860.636433851486,762.763117720034,742.777628631243,700.516042152833,607.429904651813,660.723571244322,690.780493152792,679.75507172296,732.720727318856,772.045914215139,773.002070135524,NA
"Guinea-Bissau","GNB","GDP per capita (current US$)","NY.GDP.PCAP.CD","",NA,NA,NA,NA,NA,NA,NA,NA,NA,111.688838635488,109.332599907911,119.728208756074,119.776028358027,130.367560656341,142.281820343001,145.877856746918,148.978152007931,158.866702139161,153.006192038274,141.559351449963,194.924653563058,204.248798131936,197.03104547551,162.672154070606,164.941935311688,145.905480769443,190.45237989458,176.259391620752,223.471418461783,250.149441956581,257.789175646965,221.799165336982,227.023245321292,220.96042416003,233.243258739218,243.438295892826,237.130077323453,178.848364736587,190.672306188466,308.910318401872,319.957449358104,333.058579332506,372.056194872066,405.075118373342,436.475220248958,430.003940275091,493.721993219248,599.995237190988,559.414570857329,558.174668134758,703.66056725746,616.37566403413,634.662039138969,623.313091387687,603.399381547733,661.457838679603,738.549944890782,802.767385116156,749.453747028806,727.520171719562,NA
"Liberia","LBR","GDP per capita (current US$)","NY.GDP.PCAP.CD","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306.833864207408,306.710251570113,306.473939631577,243.089577534363,286.064725253488,294.893220066163,336.11567425435,396.601761281558,478.399540115575,470.948121388477,513.44556667507,596.89663532503,675.010191838695,747.868660136896,739.91193501652,721.581050523128,740.914906030102,721.085044013216,710.265998419581,672.340499220841,632.93638561735,NA
"Mali","MLI","GDP per capita (current US$)","NY.GDP.PCAP.CD","",NA,NA,NA,NA,NA,NA,48.2799247102094,59.4675172695034,57.9917506460035,60.4756804981721,65.3845641448162,79.1574106635525,90.1001360591356,84.5976754927192,128.150952886646,142.378007750208,156.405949369652,178.990813487958,229.345814147298,248.188533814242,212.7213755312,180.511379824461,171.997851626753,160.226849805572,177.761126044406,232.889909783584,259.309111961873,265.437312297582,262.966322262511,317.394827422115,315.452814317691,319.840204737845,310.141201645306,223.019600379793,282.340143825172,282.634211882921,267.189016435596,281.873409312082,323.288903415366,270.542236003215,307.704859489839,336.418739164893,393.405009104329,440.956777118877,489.021336942005,523.038603102408,597.484457562443,697.087868500301,701.717113381612,710.274249372168,837.605820999201,778.625269510972,805.03397960822,848.279042956769,751.47288662264,780.723569528087,830.021515346886,894.804776510366,879.043187300812,862.453018770252,NA
