Country Name,Country Code,Series Name,Series Code,1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Burkina Faso,BFA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.9502635,2.88835382,2.97113252,3.14307165,4.21721363,3.95109105,4.51446247,5.23372936,4.64780807,5.08159304,5.2395854,4.6486845,4.60266972,5.56331158,5.00026941,5.13192463,5.95963097,6.02940798,4.90988731,5.46494246,..,..
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,99.326746973691,113.780341433982,124.358896430637,152.727996774912,155.649056863891,176.783350963439,225.941517814401,262.076009642159,282.685850096209,254.230468740772,245.09449089523,217.994602363453,193.843273138253,200.8943517994,256.762480687544,291.131616653547,313.061591382782,304.85352087584,351.979233521781,346.410595888327,361.046875627391,334.943236997182,193.070280195262,235.832150553486,249.360558855403,229.492949313014,255.718236662883,300.421723896109,255.718687257319,267.097599629023,294.665388546593,374.627357970473,418.37666028192,457.933430763383,473.449868166334,535.062279451535,643.404581023036,624.175164544582,647.836095537879,751.172770411005,758.000426972403,787.469438309085,792.84623742527,653.32726813947,688.250696258197,734.996267960528,804.500537821516,796.115206827676,857.932729650223,..
Burkina Faso,BFA,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,10.48779,..,..,..,..,12.55795,13.02682,13.5189,14.30845,15.32438,16.8141,18.08002,19.42905,21.48462,23.48546,25.13819,25.62197,25.91472,..,27.18227,27.70352,28.68706,29.91303,31.53515,..,..,34.98034,35.51457,36.7463,37.77186,36.72142,39.04855,41.14892,45.97286,49.62343,54.95361,61.00304,63.89452,..,64.89106,66.07414,66.97207,68.30377,69.95995,75.85293,77.00507,79.34168,..,..,..
Burkina Faso,BFA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,748,..,..,..,..,748,..,..,..,..,748,..,..,..,..,748,..,..,..,..,748,..,..,..,..,748,..,..,..,..,748,..,..,..,..,748,..,..,..,..,748,..,..,..,..,748,..,..,..,..
Burkina Faso,BFA,Population density (people per sq. km of land area),EN.POP.DNST,21.2908406432749,21.6757785087719,22.0761878654971,22.4947149122807,22.9314035087719,23.3879130116959,23.8699561403509,24.3847076023392,24.9372697368421,25.5305774853801,26.1632273391813,26.8308114035088,27.5264583333333,28.2452777777778,28.9864364035088,29.7517543859649,30.5420796783626,31.3589839181287,32.2040679824561,33.0777997076023,33.9806652046784,34.914009502924,35.8793274853801,36.878216374269,37.9120394736842,38.9822807017544,40.0903581871345,41.2379239766082,42.4267214912281,43.6571235380117,44.9309100877193,46.2522807017544,47.6263742690059,49.0567799707602,50.5452229532164,52.0907492690058,53.6905153508772,55.3402704678363,57.0365899122807,58.7789290935672,60.5674415204678,62.4005519005848,64.2764217836257,66.1937719298246,68.1518640350877,70.150716374269,72.1910307017544,74.2740606725146,76.4008698830409,78.5709064327485
Burkina Faso,BFA,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.84836864,4.94217682,5.43493128,5.56972933,8.39099884,6.04864073,6.54068899,6.27068281,7.32152605,7.62939453,6.03232431,6.58737659,4.69606161,6.38291693,7.77368164,7.15262651,11.03400135,9.9914465,8.78475094,9.57692909,..,..
Benin,BEN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.10270309,3.24910021,3.04335403,3.0376544,3.0760572,2.93478322,2.97331023,2.8938241,2.69675088,2.82528329,2.99710441,3.09628272,3.41449857,2.85861206,2.66743827,2.90741682,2.73950028,2.61910868,2.50416446,2.38842916,..,..
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,134.819585121297,161.987061525057,174.014094491397,207.300312768544,208.656403182912,218.453984016706,263.58143153799,327.822312162563,378.044305113183,337.978371685285,322.777452914962,271.129844234977,252.869785044788,244.410941733101,303.349035603158,344.503146752797,346.736631300277,311.678045207701,393.68676796568,385.753840745475,317.962736015867,411.926179723246,279.666749038025,367.387714295597,387.432098183474,361.099982369469,379.441767515178,551.821429431177,512.673901962619,518.067474134696,574.929798155789,711.284954771847,798.744304503809,822.785143124704,856.054916559873,966.203618310158,1125.42613398072,1088.75790573459,1036.53451502404,1130.27325128015,1145.14010479477,1251.20976745379,1291.41018480579,1076.79669785585,1087.28733148547,1136.59387178448,1241.82529800958,1219.51550596905,1291.04097215441,..
Benin,BEN,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,..,50.10471,50.83997,48.90028,..,48.44376,48.92716,39.50607,..,49.21298,53.21355,54.48041,56.8919,59.11845,62.47886,..,..,..,..,..,84.60479,87.73149,83.75604,86.81449,..,90.1357,94.2321,94.92278,94.8091,95.50633,..,96.36058,..,..,97.03352,97.21103,..,..,..
Benin,BEN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1039,..,..,..,..,1039,..,..,..,..,1039,..,..,..,..,1039,..,..,..,..,1039,..,..,..,..,1039,..,..,..,..,1039,..,..,..,..,1039,..,..,..,..,1039,..,..,..,..,1039,..,..,..,..
