asdf_id,viirs_ntl_annual_v20_avg_masked.2019.max,viirs_ntl_annual_v20_avg_masked.2019.mean,viirs_ntl_annual_v20_avg_masked.2019.min,viirs_ntl_annual_v20_avg_masked.2019.sum,viirs_ntl_annual_v20_avg_masked.2019.count,viirs_ntl_annual_v20_avg_masked.2014.max,viirs_ntl_annual_v20_avg_masked.2014.mean,viirs_ntl_annual_v20_avg_masked.2014.min,viirs_ntl_annual_v20_avg_masked.2014.sum,viirs_ntl_annual_v20_avg_masked.2014.count,viirs_ntl_annual_v20_avg_masked.2012.max,viirs_ntl_annual_v20_avg_masked.2012.mean,viirs_ntl_annual_v20_avg_masked.2012.min,viirs_ntl_annual_v20_avg_masked.2012.sum,viirs_ntl_annual_v20_avg_masked.2012.count,viirs_ntl_annual_v20_avg_masked.2016.max,viirs_ntl_annual_v20_avg_masked.2016.mean,viirs_ntl_annual_v20_avg_masked.2016.min,viirs_ntl_annual_v20_avg_masked.2016.sum,viirs_ntl_annual_v20_avg_masked.2016.count,viirs_ntl_annual_v20_avg_masked.2015.max,viirs_ntl_annual_v20_avg_masked.2015.mean,viirs_ntl_annual_v20_avg_masked.2015.min,viirs_ntl_annual_v20_avg_masked.2015.sum,viirs_ntl_annual_v20_avg_masked.2015.count,viirs_ntl_annual_v20_avg_masked.2013.max,viirs_ntl_annual_v20_avg_masked.2013.mean,viirs_ntl_annual_v20_avg_masked.2013.min,viirs_ntl_annual_v20_avg_masked.2013.sum,viirs_ntl_annual_v20_avg_masked.2013.count,viirs_ntl_annual_v20_avg_masked.2017.max,viirs_ntl_annual_v20_avg_masked.2017.mean,viirs_ntl_annual_v20_avg_masked.2017.min,viirs_ntl_annual_v20_avg_masked.2017.sum,viirs_ntl_annual_v20_avg_masked.2017.count,viirs_ntl_annual_v20_avg_masked.2020.max,viirs_ntl_annual_v20_avg_masked.2020.mean,viirs_ntl_annual_v20_avg_masked.2020.min,viirs_ntl_annual_v20_avg_masked.2020.sum,viirs_ntl_annual_v20_avg_masked.2020.count,viirs_ntl_annual_v20_avg_masked.2018.max,viirs_ntl_annual_v20_avg_masked.2018.mean,viirs_ntl_annual_v20_avg_masked.2018.min,viirs_ntl_annual_v20_avg_masked.2018.sum,viirs_ntl_annual_v20_avg_masked.2018.count,ambient_air_pollution_2013_fus_calibrated.1990.mean,ambient_air_pollution_2013_fus_calibrated.1995.mean,ambient_air_pollution_2013_fus_calibrated.2000.mean,ambient_air_pollution_2013_fus_calibrated.2005.mean,ambient_air_pollution_2013_fus_calibrated.2010.mean,ambient_air_pollution_2013_fus_calibrated.2011.mean,ambient_air_pollution_2013_fus_calibrated.2012.mean,ambient_air_pollution_2013_fus_calibrated.2013.mean,oco2_v10r_xco2_yearly.2015.mean,oco2_v10r_xco2_yearly.2015.max,oco2_v10r_xco2_yearly.2015.min,oco2_v10r_xco2_yearly.2017.mean,oco2_v10r_xco2_yearly.2017.max,oco2_v10r_xco2_yearly.2017.min,oco2_v10r_xco2_yearly.2019.mean,oco2_v10r_xco2_yearly.2019.max,oco2_v10r_xco2_yearly.2019.min,oco2_v10r_xco2_yearly.2020.mean,oco2_v10r_xco2_yearly.2020.max,oco2_v10r_xco2_yearly.2020.min,oco2_v10r_xco2_yearly.2018.mean,oco2_v10r_xco2_yearly.2018.max,oco2_v10r_xco2_yearly.2018.min,oco2_v10r_xco2_yearly.2016.mean,oco2_v10r_xco2_yearly.2016.max,oco2_v10r_xco2_yearly.2016.min,Level,gqid,id,shapeGroup,shapeID,shapeISO,shapeName,shapeType
0,0.57091230154,0.00072871450571,0.0,6.5795440673828125,9028.86035156,1.83844065666,0.00216155013671,0.0,19.5221214294,9028.86035156,0.8064930439,0.00146589015197,0.0,13.2392425537,9028.86035156,0.421270042658,0.000341852644275,0.0,3.0872042179107666,9028.86035156,0.781421244144,0.00108908317565,0.0,9.83603096008,9028.86035156,1.13914108276,0.00165634418732,0.0,14.9593067169,9028.86035156,0.494037389755,0.000485979414248,0.0,4.387812614440918,9028.86035156,0.931572079659,0.000969786808761,0.0,8.756568908691406,9028.86035156,0.536853194237,0.000565881746577,0.0,5.109322547912598,9028.86035156,14.9420511427,14.88317927,14.830519316,17.6453759118,15.0337920808,18.6373506452,23.6337569266,30.6362249339,400.475111502,401.402996222,398.968086667,406.533001618,406.69871574,405.976060798,410.160821113,410.538798493,409.860125616,409.387238987,410.123631176,408.03614,406.732690183,407.176692167,406.44593375,403.598490777,404.703642941,402.196113261,ADM1,0,0,LBR,LBR-ADM1-1627179B51883426,LR-BM,Bomi,ADM1
1,5.71875619888,0.00286414958425,0.0,117.55682826042175,41117.24086,5.21784353256,0.00184172469053,0.0,75.5424795151,41117.24086,2.13277101517,0.00190481264893,0.0,78.0851612091,41117.24086,4.73328733444,0.00281253333997,0.0,115.51746463775635,41117.24086,4.6339225769,0.00237872844115,0.0,97.6550922394,41117.24086,4.32760810852,0.00206904825037,0.0,84.8203353882,41117.24086,4.78828334808,0.00323252713559,0.0,132.6588101387024,41117.24086,4.51545381546,0.0028919651739,0.0,118.70664739608765,41117.24086,4.58029127121,0.00209062876802,0.0,85.78841876983643,41117.24086,15.1246568493,15.1059679298,15.0828386558,16.489732175,17.2121046214,17.2491062997,17.6672015241,18.5148354138,401.109836063,402.764615,396.322185,405.541550013,406.74505404,403.517022443,409.931949214,411.556678,408.166400284,409.373916462,411.34728,408.326526667,405.879818473,407.070544762,404.299776667,403.120291929,406.301602941,399.942074583,ADM1,1,1,LBR,LBR-ADM1-1627179B30038906,LR-BG,Bong,ADM1
2,0.0,0.0,0.0,NA,46506.1293359,0.46556648612,5.15821013751e-05,0.0,2.3969707489,46506.1293359,0.504300355911,6.64832266229e-05,0.0,3.08940553665,46506.1293359,0.0,0.0,0.0,NA,46506.1293359,0.702323377132,8.85271906003e-05,0.0,4.11376094818,46506.1293359,0.993386209011,0.000104895945359,0.0,4.8744058609,46506.1293359,0.0,0.0,0.0,NA,46506.1293359,0.0,0.0,0.0,NA,46506.1293359,0.0,0.0,0.0,NA,46506.1293359,18.1755388858,18.1433655948,18.1066791915,17.655365446,17.0502910842,20.6903673127,25.5558195199,32.1271807413,400.791460274,401.953414492,400.1321581,406.710710602,406.795257976,406.413925773,409.344203779,411.930511281,407.766283134,410.300830513,412.006159615,409.361415818,407.277761048,408.856179091,406.370530659,403.438583313,406.623365,399.9634,ADM1,2,2,LBR,LBR-ADM1-1627179B92154571,LR-GP,Gbarpolu,ADM1
3,14.2360973358,0.00915754827168,0.0,331.80609130859375,37026.3112793,9.83543968201,0.00663778622327,0.0,239.93560791,37026.3112793,8.2439994812,0.00674416660434,0.0,244.843521118,37026.3112793,11.0093698502,0.0058161047221,0.0,210.07415771484375,37026.3112793,10.4474725723,0.00707229837217,0.0,255.774032593,37026.3112793,7.00349473953,0.00837073141616,0.0,304.49697876,37026.3112793,17.9683017731,0.011274183679,0.0,409.3455505371094,37026.3112793,12.4653987885,0.00924241453421,0.0,335.7021789550781,37026.3112793,14.1152992249,0.0101617423663,0.0,369.0515441894531,37026.3112793,11.909635497,11.8860567542,11.8550526148,15.5048946447,15.1118978175,15.3646803284,15.984735917,17.0560796978,397.957382995,401.551766169,394.790865,404.535021681,406.240405902,402.874854548,409.618893904,411.586223566,407.82916,410.801831069,411.936567333,409.250914208,405.94752129,406.772475607,404.299776667,401.343665458,404.3847436,399.700513333,ADM1,3,3,LBR,LBR-ADM1-1627179B1009088,LR-GB,Grand Bassa,ADM1
4,6.75367546082,0.00446776398251,0.0,99.77674865722656,22337.7499962,1.4983382225,0.00102689933665,0.0,22.9344997406,22337.7499962,0.340752959251,0.000100803492139,0.0,2.25133419037,22337.7499962,7.2858171463,0.00549328625673,0.0,122.68419647216797,22337.7499962,6.10418510437,0.00521237986693,0.0,116.410507202,22337.7499962,0.665946185589,0.000197407287701,0.0,4.40886735916,22337.7499962,6.48945951462,0.00566672879802,0.0,126.55841827392578,22337.7499962,8.12372970581,0.00471376600163,0.0,105.27397918701172,22337.7499962,7.00344419479,0.00466628627999,0.0,104.20957946777344,22337.7499962,19.383328807,19.39583765,19.3998763258,18.0814752719,16.8645333008,19.8550337552,23.6469326642,28.4840712544,399.822870485,400.4080621,397.536275471,406.102145785,406.69259826,404.925808687,410.289038651,411.53131,409.281148347,409.103858822,410.869997647,406.80417,406.781286627,407.682774,406.11937,402.210191155,404.125788197,399.9634,ADM1,4,4,LBR,LBR-ADM1-1627179B81865997,LR-CM,Grand Cape Mount,ADM1
5,1.48060023785,0.000740475059673,0.0,37.33369064331055,50590.9820557,1.59154474735,0.000981168501269,0.0,49.6286346912,50590.9820557,1.76573348045,0.00102892700785,0.0,52.0316039324,50590.9820557,1.7468971014,0.000916395686164,0.0,46.36057651042938,50590.9820557,1.60021972656,0.00095599918933,0.0,48.3460307866,50590.9820557,1.70559298992,0.00108787786459,0.0,55.0145315304,50590.9820557,1.82435822487,0.000957414219675,0.0,48.30879592895508,50590.9820557,1.57651543617,0.000820411063538,0.0,41.395586013793945,50590.9820557,1.76005518436,0.000965455913256,0.0,48.77828407287598,50590.9820557,13.1961938969,13.181074888,13.163959494,15.3243995635,16.1770432741,19.0207698783,23.0471691869,28.8164976291,400.007099622,401.86536,397.974474067,402.130894424,404.516463333,401.084894321,409.134143739,409.663649617,408.618480513,411.947965248,413.520000333,410.091546769,406.335830773,410.972495544,404.474531429,401.836545682,404.40065,399.05635,ADM1,5,5,LBR,LBR-ADM1-1627179B72460129,LR-GG,Grand Gedeh,ADM1
6,0.0,0.0,0.0,0.0,18132.5195312,0.0,0.0,0.0,0.0,18132.5195312,0.0,0.0,0.0,0.0,18132.5195312,0.0,0.0,0.0,0.0,18132.5195312,0.0,0.0,0.0,0.0,18132.5195312,0.0,0.0,0.0,0.0,18132.5195312,0.0,0.0,0.0,0.0,18132.5195312,0.0,0.0,0.0,0.0,18132.5195312,0.0,0.0,0.0,0.0,18132.5195312,11.9125020474,11.847807234,11.815127562,12.2336703326,13.6271499471,16.4119952552,20.2057195619,25.4572999377,399.357928953,400.148857792,398.382574455,404.654007155,405.413592171,403.484548864,410.078070249,410.37313226,409.632638455,411.168393308,412.568343025,409.780683548,405.695066866,408.868706957,404.405344667,402.946618606,404.965290872,402.101269896,ADM1,6,6,LBR,LBR-ADM1-1627179B48705910,LR-GK,Grand Kru,ADM1
7,1.09792137146,1.99440625557e-05,0.0,0.7975038886070251,46739.4282227,1.67186820507,0.000566731678152,0.0,26.507019043,46739.4282227,1.66930401325,0.000517604120331,0.0,24.2079057693,46739.4282227,1.01636946201,0.000207669212086,0.0,9.716279983520508,46739.4282227,2.15637540817,0.000852648036933,0.0,39.883225441,46739.4282227,1.76568639278,0.000559673765653,0.0,26.1736779213,46739.4282227,1.06988835335,0.000222863083685,0.0,10.42756462097168,46739.4282227,0.888581752777,1.91519521333e-05,0.0,0.77708500623703,46739.4282227,0.0,0.0,0.0,NA,46739.4282227,18.6394469536,18.6347927547,18.6208230634,17.5910682864,17.7276675469,19.8321232659,22.647048641,26.484265942,401.756638517,402.88724,400.010215897,406.937886773,408.250725,405.911933182,409.376646839,412.506162857,406.80798,411.670146193,413.610017059,409.33612,406.591822135,408.394379091,404.85294,404.054916199,406.257199999,401.444703062,ADM1,7,7,LBR,LBR-ADM1-1627179B89842596,LR-LO,Lofa,ADM1
8,9.59046554565,0.0483900674175,0.0,579.22412109375,12089.640625,9.96195316315,0.0469448141102,0.0,563.543029785,12089.640625,8.34293937683,0.0389795528743,0.0,468.107116699,12089.640625,7.96240663528,0.0388175561305,0.0,465.45440673828125,12089.640625,11.2815151215,0.0497746247743,0.0,597.282348633,12089.640625,10.995177269,0.0475993370692,0.0,571.45715332,12089.640625,8.51941585541,0.0504628881199,0.0,604.495361328125,12089.640625,6.23635053635,0.0484002660008,0.0,578.9190673828125,12089.640625,9.44470310211,0.0494644621592,0.0,592.302978515625,12089.640625,13.8663644502,13.9131390282,13.9751697464,14.8211278829,17.5397180937,17.3837135621,17.3090868003,17.3133053502,400.508000915,402.010621905,397.07559,406.211298576,406.71725106,405.399773881,410.539954213,411.9205,409.276000853,409.645326446,412.59323,409.247537647,406.431123156,407.053238,405.983271282,404.224100028,405.652653676,402.1992426,ADM1,8,8,LBR,LBR-ADM1-1627179B12962925,LR-MG,Margibi,ADM1
9,1.54436171055,0.00578242338253,0.0,61.2017822265625,10707.5800781,2.14130163193,0.00261189812368,0.0,27.7994403839,10707.5800781,1.53442037106,0.00226294862302,0.0,24.0089664459,10707.5800781,1.55504310131,0.00369325598308,0.0,38.86920166015625,10707.5800781,1.52285289764,0.00386745148741,0.0,40.8905944824,10707.5800781,2.65931940079,0.00293135943163,0.0,31.2902603149,10707.5800781,2.08935594559,0.00485969720529,0.0,51.1075439453125,10707.5800781,2.49855399132,0.00874825305568,0.0,92.93302917480469,10707.5800781,1.77977061272,0.0055654732743,0.0,58.7208137512207,10707.5800781,11.6286450008,11.5660506084,11.5287143145,11.9682089787,12.8854791484,14.5189110851,16.6095963945,19.3131024937,398.978645254,399.772493495,397.92885135,404.093684647,405.458379667,401.445545,409.874857117,410.436441877,409.227830446,409.90254363,410.551959731,409.344394167,406.435955674,408.40536379,404.615932634,402.925330752,403.448869937,402.321528,ADM1,9,9,LBR,LBR-ADM1-1627179B95932443,LR-MY,Maryland,ADM1
