,shapeGroup,shapeName,Precipitation,Temperature,Viirs_Average,Viirs_Cloud_Coverage_Count,Viirs_Cloud_Coverage_Sum,PM2.5AirPollution,OzoneAirPollution,Population,supprimer,Year
0,NER,Tahoua/Agadez,9.96361704548,27.9274155898,0.000806093307878,3576724.34024,3576171.26466,47.3611962526,47.6777751943,3788286.51654,894316.586426,2012
1,NER,Dossa,55.5556456157,29.5180750327,0.00231274337763,153317.480774,153183.13916,32.6552805268,51.2755789673,2079699.21094,38362.9892578,2012
2,NER,Niamey,53.934487603,29.8574676735,2.46243236425,2285.75976562,2272.5300293,31.6937689059,51.1421656795,955338.375,574.760009766,2012
3,NER,Tillaberi,50.3468602874,29.885601001,0.00134193824413,438911.772186,438658.40625,31.830256213,49.4439688904,2773108.1897,109791.139755,2012
4,NER,Maradi,45.5610653467,29.0821508127,0.00377527788466,190083.78787,189949.901815,40.0082784181,53.4571851689,3380093.59375,47554.6605225,2012
5,NER,Zinder/Diffa,32.4401589843,28.4266730075,0.00721035262917,1426540.61473,1426156.47429,53.8373704538,52.0363364361,4121414.08228,356728.593674,2012
0,MLI,Bamako,96.0447916526,27.0729166712,9.06924861701,1188.15002441,1177.75,26.816927099,50.6315927459,2073381.125,299.58001709,2012
1,MLI,Gao,26.8739699855,29.8789497276,8.73293314e-06,872343.574287,872072.258995,37.6704648493,46.8950248346,621480.661728,218151.976103,2012
2,MLI,Kayes,82.3101456577,28.623940998,0.00428559573194,590723.906067,590415.349152,38.1943380279,47.644564935,2218732.31512,147429.001541,2012
3,MLI,Kidal,6.93886847656,29.0200943471,0.000285148818452,744464.852406,744184.012672,53.9639358895,47.7435682673,81250.9941711,186188.27124,2012
4,MLI,Koulikouro,69.9080533324,27.811378681,0.00931835454336,435992.194809,435670.566193,35.4634771664,49.0142573357,2852174.4375,109068.57489,2012
5,MLI,Mopti,60.0983105868,28.8408757141,0.00196556084827,383182.400848,382935.066254,40.8152763852,47.7058886878,2241874.09375,95817.2055664,2012
6,MLI,Segou,65.8106330595,28.2349072704,0.00512776064464,298759.081207,298542.653,33.7897369068,48.7305426504,2585643.05469,74742.4912109,2012
7,MLI,Sikasso,100.27574714,27.1620242659,0.00665190578236,342550.523868,342236.320195,26.0298844995,54.5668566467,2968093.39062,85509.9804688,2012
8,MLI,Tombouctou,13.5974237785,28.7010786111,1.31733862303e-05,2486311.79001,2485819.48661,105.346221782,47.3454627724,765708.681313,621682.012207,2012
0,NGA,Sokoto,53.8767769406,29.0006622084,0.0291298804824,149187.070007,149014.309692,35.882310584,52.5245707505,4468820.46094,37295.7321777,2012
1,NGA,Gombe,94.755223662,26.8635147069,0.0445466312375,79216.0458984,79122.4003906,34.2198010868,57.6197738198,2614612.5,19716.21875,2012
2,NGA,Adamawa,114.107995116,26.3414395839,0.00569633921741,189531.439209,189345.793457,29.7597822936,63.4757662137,4093871.9375,47373.6401367,2012
3,NGA,Zamfara,78.2839740745,27.7417373351,0.0139490405068,164158.659576,163997.339447,33.5491611378,54.7707314911,3947312.37207,41078.9839401,2012
4,NGA,Yobe,65.0987225078,27.5552846837,0.0052636291431,219176.711444,219000.134273,45.3615309297,56.1956236616,2897892.10938,54821.449707,2012
5,NGA,Borno,63.6127817347,27.7204362724,0.00535531699666,345107.815552,344886.331787,40.5621486835,55.0470314742,5209375.1875,86305.8769531,2012
6,NGA,Akwa Ibom,205.301692399,26.42304853,0.432662395287,32265.0817871,32208.9008789,17.9244322938,68.4877724047,4760262.0,8041.05957031,2012
7,NGA,Bauchi,108.137767069,26.5767092386,0.0124849682702,236385.909454,236158.149101,37.097252166,57.694123344,5636665.5,59153.0102539,2012
8,NGA,Ogun,126.011204396,27.0313267427,0.182932170421,78703.6812353,78560.2509718,21.3657459013,77.5034103001,5066880.5,19710.5097656,2012
9,NGA,Niger,106.294685927,27.6741405657,0.0217553883147,337252.50153,336967.054863,30.8467028332,70.2477564842,4770619.01678,83771.5409384,2012
10,NGA,Anambra,142.683982798,27.5375013157,0.186453958397,22220.3300781,22167.9589844,25.9049207972,75.1231144523,4881214.0,5567.49023438,2012
11,NGA,Kano,105.617461242,26.7829198955,0.0922917101393,96773.2001343,96640.0216675,41.7038143221,56.3902856696,11417634.0,24090.7304688,2012
12,NGA,Nasarawa,131.978029962,26.5487266735,0.0190279503835,124333.999023,124193.588867,29.6062043257,71.9473073443,2187735.6875,31118.7509766,2012
13,NGA,Kebbi,81.2750724859,28.4302191111,0.0162906880178,177937.972656,177699.670898,31.0400461749,56.6077411851,3805706.26562,43823.9597168,2012
14,NGA,Kaduna,136.601078243,25.5624624099,0.0735148463828,214478.190918,214284.410156,33.6471151796,61.4724329362,7459782.4375,53634.0571289,2012
15,NGA,Katsina,84.0715239726,27.1721354981,0.036993502266,116188.556396,116044.496582,38.5560294692,55.7285648628,6988567.57812,29059.6501465,2012
16,NGA,Plateau,130.748619617,25.7212853334,0.0386566235699,123471.141479,123341.411255,30.3415468999,65.000543844,3735723.04883,30900.0196533,2012
17,NGA,Edo,147.511803285,26.5075846471,0.525547506229,92249.3896484,92129.1904297,18.6701706474,74.7985624107,3953843.5,23091.9199219,2012
18,NGA,Oyo,93.9030055469,26.869808875,0.0621234524951,130794.812538,130669.649815,27.5845709603,77.8384996868,6752097.13623,32720.4894905,2012
19,NGA,Jigawa,81.7563485315,27.5764487275,0.0255961257942,112368.411102,112180.990707,48.2255858483,57.3506767336,5010645.03711,28138.7783203,2012
20,NGA,Cross River,173.836642481,27.1914462673,0.0162391331525,98984.2597656,98866.7001953,21.177639997,69.818205536,3193998.75,24732.8903809,2012
21,NGA,Taraba,115.46935676,27.0896681918,0.0019086452329,277984.461258,277778.778625,26.7620255966,69.5927494918,2669893.5625,69547.1396484,2012
22,NGA,Rivers,201.532171171,27.1864032893,2.90569498347,45543.1912231,45405.2705688,14.4943934518,69.1293740968,6240592.0,11378.0605469,2012
23,NGA,Ekiti,99.502903409,25.9299473824,0.0542373200397,27346.0,27295.8378906,22.4005510455,77.6162688592,2942037.75,6848.85009766,2012
24,NGA,Benue,114.35087434,27.2591232747,0.0191021040601,145346.890625,145208.359375,23.5414854063,73.5616086015,4979806.375,36370.9980469,2012
25,NGA,Delta,201.362756848,26.7925513397,1.58856277838,80008.6201172,79871.1279297,15.6365137093,71.6317784541,4913587.5,19947.0,2012
26,NGA,Ondo,134.35511067,26.5962235645,0.0567902527974,71040.4816356,70923.8399315,19.0061923539,76.0350927862,4187708.25,17777.6425781,2012
27,NGA,Osun,98.9935786343,26.3905265486,0.147345893167,40283.4135437,40215.9280701,21.3741785546,77.9789380004,3979143.0,10088.0703125,2012
28,NGA,Kwara,96.158799714,27.2669964086,0.0315256197054,158515.507614,158334.406174,28.3359273844,77.9262818408,2764009.28906,39616.2092896,2012
29,NGA,Imo,171.426041903,27.2797395102,1.35328955261,24179.6308594,24137.8984375,20.9495307441,72.7976847903,4742630.0,6055.16992188,2012
30,NGA,Kogi,105.316000546,27.4341079915,0.030719936029,137024.175293,136866.321777,23.4901386611,77.2088387758,3789309.39844,34280.1601562,2012
31,NGA,Abia,171.273610337,27.2150625185,0.147305167998,22611.8393555,22544.0698242,21.3139956652,71.5951258452,3369329.5,5669.9296875,2012
