,shapeGroup,shapeName,Precipitation,Temperature,Viirs_Average,Viirs_Cloud_Coverage_Count,Viirs_Cloud_Coverage_Sum,Population,supprimer,CO2 concentration (in parts per million),Year,gpw_v4_rev11_count.2015.sum,gpw_v4_rev11_count.2015.count,gpw_v4_rev11_count.2020.sum,gpw_v4_rev11_count.2020.count
0,NER,Tahoua/Agadez,10.1038033246,28.5793497089,0.000862767084195,3576724.34024,3576171.26466,4375210.09427,894316.586426,399.581697751,2015,,,,
1,NER,Dossa,48.6723489845,29.5929001473,0.0037287445895,153317.480774,153183.13916,2258362.98438,38362.9892578,399.181743245,2015,,,,
2,NER,Niamey,46.3344759381,30.0126899492,2.97613926796,2285.75976562,2272.5300293,1035760.5,574.760009766,400.369719998,2015,,,,
3,NER,Tillaberi,40.1251083841,29.8795078751,0.00192702290588,438911.772186,438658.40625,3100412.08856,109791.139755,399.640866111,2015,,,,
4,NER,Maradi,39.4567385694,29.2627028922,0.00596011380422,190083.78787,189949.901815,3797542.5,47554.6605225,399.192337989,2015,,,,
5,NER,Zinder/Diffa,23.5183689865,28.5228344766,0.00541286458405,1426540.61473,1426156.47429,4775007.43986,356728.593674,398.609139745,2015,,,,
0,MLI,Bamako,79.0031250203,27.454166671,10.4453742582,1188.15002441,1177.75,2460461.0,299.58001709,400.771224755,2015,,,,
1,MLI,Gao,20.1345280932,29.7918176908,0.000440944361048,872343.574287,872072.258995,717216.484634,218151.976103,399.057441769,2015,,,,
2,MLI,Kayes,78.517190787,29.1189184372,0.00598454492277,590723.906067,590415.349152,2473691.13965,147429.001541,400.26780942,2015,,,,
3,MLI,Kidal,10.8636784391,28.2650441298,0.000251179265921,744464.852406,744184.012672,97745.5657501,186188.27124,399.283274762,2015,,,,
4,MLI,Koulikouro,64.8571851167,28.3433298654,0.013929758582,435992.194809,435670.566193,3331277.33594,109068.57489,399.98427573,2015,,,,
5,MLI,Mopti,54.3365586464,28.9389106349,0.0029159490357,383182.400848,382935.066254,2463608.17188,95817.2055664,399.834606874,2015,,,,
6,MLI,Segou,61.1319304422,28.7973832305,0.00690848396414,298759.081207,298542.653,2852047.35938,74742.4912109,399.211545952,2015,,,,
7,MLI,Sikasso,91.4344780607,27.9374462928,0.00868148249261,342550.523868,342236.320195,3337463.84375,85509.9804688,400.439421701,2015,,,,
8,MLI,Tombouctou,14.0589624915,28.1451324552,0.000283810691326,2486311.79001,2485819.48661,873102.037064,621682.012207,399.504806421,2015,,,,
0,NGA,Sokoto,57.3667703665,28.9731409682,0.0225165295865,149187.070007,149014.309692,4897688.20312,37295.7321777,398.746968518,2015,4846760.01562,37340.2583008,,
1,NGA,Gombe,67.6880151074,27.4211972452,0.0682032753121,79216.0458984,79122.4003906,2890333.0,19716.21875,400.307822685,2015,2823028.5,19827.6992188,,
2,NGA,Adamawa,77.2994772972,27.149405166,0.0124253949838,189531.439209,189345.793457,4455466.6875,47373.6401367,400.498540441,2015,4387870.9375,47428.4785156,,
3,NGA,Zamfara,74.9173862363,27.8088924095,0.0176441335818,164158.659576,163997.339447,4325223.60669,41078.9839401,399.281604884,2015,4186638.99512,41079.6510162,,
4,NGA,Yobe,50.0291500105,27.7217477944,0.00529200135653,219176.711444,219000.134273,3195856.40625,54821.449707,399.909845488,2015,3146925.03125,54838.206543,,
5,NGA,Borno,51.9491297979,28.1384608112,0.00594990523886,345107.815552,344886.331787,5750868.6875,86305.8769531,399.570707334,2015,5619903.1875,86332.1494141,,
6,NGA,Akwa Ibom,169.74223781,26.8310415256,1.33580535986,32265.0817871,32208.9008789,5253917.0,8041.05957031,400.216355301,2015,5143165.0,8044.54003906,,
7,NGA,Bauchi,85.7173283702,26.8352085334,0.0171080690421,236385.909454,236158.149101,6198028.9375,59153.0102539,398.644550123,2015,6183404.26562,59152.1416016,,
8,NGA,Ogun,103.760418397,27.4951600004,0.298081455359,78703.6812353,78560.2509718,5565754.0,19710.5097656,400.974381011,2015,5811394.5,19710.9804688,,
9,NGA,Niger,95.2641785502,27.9238617382,0.0296964610526,337252.50153,336967.054863,5275187.99042,83771.5409384,399.515369579,2015,5174341.99048,84384.1535912,,
10,NGA,Anambra,111.632376994,27.9396587551,0.240620120011,22220.3300781,22167.9589844,5290509.0,5567.49023438,403.140780436,2015,5178760.0,5568.1796875,,
11,NGA,Kano,88.1584305291,26.8489747371,0.211296930589,96773.2001343,96640.0216675,12569137.0,24090.7304688,397.850088835,2015,12338254.0,24225.9199219,,
12,NGA,Nasarawa,108.545136709,26.9601168911,0.0354099621668,124333.999023,124193.588867,2391185.8125,31118.7509766,399.913742845,2015,2399948.4375,31118.9584961,,
13,NGA,Kebbi,73.7932336582,28.5902981464,0.0198012399566,177937.972656,177699.670898,4153594.5,43823.9597168,399.592681059,2015,4085552.98438,44544.2229004,,
14,NGA,Kaduna,117.131796342,25.7992452764,0.0730269641976,214478.190918,214284.410156,8135290.4375,53634.0571289,400.048760378,2015,7986784.84375,53668.2304688,,
15,NGA,Katsina,71.0732450337,27.2269150086,0.0456711223623,116188.556396,116044.496582,7629832.67188,29059.6501465,398.602536412,2015,7462913.53125,29082.9685059,,
16,NGA,Plateau,101.14513603,26.1795006216,0.0478010045126,123471.141479,123341.411255,4065129.85156,30900.0196533,398.322425064,2015,3945455.11719,30900.2694092,,
17,NGA,Edo,133.550931683,26.9466138418,1.17844484157,92249.3896484,92129.1904297,4297776.0,23091.9199219,400.977040388,2015,4277302.0,23092.4003906,,
18,NGA,Oyo,80.9701467598,27.2281296283,0.0727389913226,130794.812538,130669.649815,7432142.25781,32720.4894905,400.24601124,2015,7318852.40039,32730.4206429,,
19,NGA,Jigawa,61.6214645986,27.5450871964,0.0639994084281,112368.411102,112180.990707,5465470.15625,28138.7783203,398.212959533,2015,5351527.63281,28139.2496338,,
20,NGA,Cross River,142.466492148,27.5549338376,0.0242354440331,98984.2597656,98866.7001953,3453560.1875,24732.8903809,400.172618266,2015,3445954.4375,24762.5878906,,
21,NGA,Taraba,79.8506564704,27.7636807657,0.00450779650932,277984.461258,277778.778625,2894369.6875,69547.1396484,399.745909935,2015,2842406.0625,69547.1923828,,
22,NGA,Rivers,166.390243186,27.636456803,4.59266064123,45543.1912231,45405.2705688,6825220.0,11378.0605469,401.896640328,2015,6744744.0,11375.5,,
23,NGA,Ekiti,97.0182335535,26.2863215398,0.0500390638851,27346.0,27295.8378906,3212287.25,6848.85009766,401.665196013,2015,3171727.75,6849.10009766,,
24,NGA,Benue,82.7236602331,27.6707024708,0.0299668049818,145346.890625,145208.359375,5431194.5625,36370.9980469,399.658589043,2015,5327349.5,36371.8012695,,
25,NGA,Delta,176.969897667,27.2323034796,3.18140365967,80008.6201172,79871.1279297,5385189.0,19947.0,400.48888876,2015,5273167.0,19970.5585938,,
26,NGA,Ondo,124.908938954,27.0312429541,0.041673852786,71040.4816356,70923.8399315,4575265.5,17777.6425781,401.312769436,2015,4444784.5,17784.1210938,,
27,NGA,Osun,95.653682627,26.7617954285,0.147897212518,40283.4135437,40215.9280701,4360740.0,10088.0703125,401.27226355,2015,4208465.0,10087.6191406,,
28,NGA,Kwara,85.1998379014,27.542869432,0.031564768637,158515.507614,158334.406174,3006304.02734,39616.2092896,400.533341458,2015,2913095.66406,39674.3410034,,
29,NGA,Imo,137.667395838,27.6997777293,0.946116978336,24179.6308594,24137.8984375,5188091.0,6055.16992188,401.088514012,2015,5126605.5,6055.31982422,,
30,NGA,Kogi,88.9113618774,27.8196800834,0.0383049288068,137024.175293,136866.321777,4114434.58594,34280.1601562,401.614784695,2015,4126741.28125,34294.9016113,,
31,NGA,Abia,136.467490156,27.62493838,0.235669981947,22611.8393555,22544.0698242,3666656.0,5669.9296875,398.86202074,2015,3589006.25,5669.9296875,,
32,NGA,Fct,119.380191126,27.3822219637,0.964679418798,36129.9068127,36079.5605803,3185659.25,9045.6796875,398.861834694,2015,3143827.0,9044.79003906,,
33,NGA,Bayelsa,210.236201724,27.1174806652,1.82068767418,44172.6411133,44092.8007812,2176807.5,11028.9501953,400.010393113,2015,2123162.0,11031.7197266,,
34,NGA,Enugu,98.8376192212,27.5137848309,0.204879630132,35975.5406494,35909.4685059,4146897.0,9010.29980469,400.842976369,2015,4039242.5,9010.37988281,,
35,NGA,Lagos,124.999147735,27.3846590893,3.07979727591,17805.9414062,17747.7207031,11572541.0,3939.39013672,402.204437456,2015,11099263.0,4459.60058594,,
36,NGA,Ebonyi,107.439754258,27.5476896628,0.0312587399967,30603.7709885,30537.1996765,2898347.0,7667.50976562,399.502731529,2015,2803153.0,7667.6796875,,
0,TGO,Savanes Region,86.1263048185,28.5732159239,0.018188294909,41289.6206055,41206.588623,999381.75,10343.0,400.00283844,2015,1000235.9375,10342.9091797,,
1,TGO,Kara Region,102.348647729,27.1143243124,0.0233342239927,54639.9372559,54541.6936035,851345.8125,13683.8808594,399.996195323,2015,843363.5625,13684.4501953,,
2,TGO,Centrale Region,94.6483574711,26.4275034765,0.0121553278417,62702.7802734,62614.6816406,725301.9375,15697.7402344,400.253774749,2015,728415.1875,15697.6796875,,
3,TGO,Plateaux Region,82.6403061822,26.6432361152,0.0129132354063,81204.9233398,81111.0595703,1561610.625,20303.1210938,399.902803177,2015,1565584.375,20324.5605469,,
4,TGO,Maritime Region,72.6208916774,27.6876525181,0.429596661907,29811.8588867,29754.0991211,3009564.0,7441.43017578,400.642063394,2015,2984978.25,7467.06005859,,
0,GIN,Boke,160.370167597,27.3959304437,0.00884439898772,163525.73877,163264.536804,1108092.98438,40899.2285156,401.300902953,2015,1289297.76562,40900.2089844,,
1,GIN,Conakry,218.991666667,25.9583333333,2.71927531567,2091.11010742,2069.2199707,1650171.25,521.309997559,400.589034831,2015,1882630.75,519.799987793,,
