asdf_id,worldpop_pop_count_1km_mosaic.2020.count,worldpop_pop_count_1km_mosaic.2020.sum,worldpop_pop_count_1km_mosaic.2019.count,worldpop_pop_count_1km_mosaic.2019.sum,worldpop_pop_count_1km_mosaic.2018.count,worldpop_pop_count_1km_mosaic.2018.sum,worldpop_pop_count_1km_mosaic.2017.count,worldpop_pop_count_1km_mosaic.2017.sum,worldpop_pop_count_1km_mosaic.2015.count,worldpop_pop_count_1km_mosaic.2015.sum,worldpop_pop_count_1km_mosaic.2016.count,worldpop_pop_count_1km_mosaic.2016.sum,worldpop_pop_count_1km_mosaic.2013.count,worldpop_pop_count_1km_mosaic.2013.sum,worldpop_pop_count_1km_mosaic.2014.count,worldpop_pop_count_1km_mosaic.2014.sum,worldpop_pop_count_1km_mosaic.2011.count,worldpop_pop_count_1km_mosaic.2011.sum,worldpop_pop_count_1km_mosaic.2012.count,worldpop_pop_count_1km_mosaic.2012.sum,worldpop_pop_count_1km_mosaic.2010.count,worldpop_pop_count_1km_mosaic.2010.sum,viirs_ntl_annual_v20_cf_cvg.2020.count,viirs_ntl_annual_v20_cf_cvg.2020.sum,viirs_ntl_annual_v20_cf_cvg.2019.count,viirs_ntl_annual_v20_cf_cvg.2019.sum,viirs_ntl_annual_v20_cf_cvg.2018.count,viirs_ntl_annual_v20_cf_cvg.2018.sum,viirs_ntl_annual_v20_cf_cvg.2016.count,viirs_ntl_annual_v20_cf_cvg.2016.sum,viirs_ntl_annual_v20_cf_cvg.2017.count,viirs_ntl_annual_v20_cf_cvg.2017.sum,viirs_ntl_annual_v20_cf_cvg.2015.count,viirs_ntl_annual_v20_cf_cvg.2015.sum,viirs_ntl_annual_v20_cf_cvg.2013.count,viirs_ntl_annual_v20_cf_cvg.2013.sum,viirs_ntl_annual_v20_cf_cvg.2014.count,viirs_ntl_annual_v20_cf_cvg.2014.sum,viirs_ntl_annual_v20_cf_cvg.2012.count,viirs_ntl_annual_v20_cf_cvg.2012.sum,viirs_ntl_annual_v20_avg_masked.2020.mean,viirs_ntl_annual_v20_avg_masked.2019.mean,viirs_ntl_annual_v20_avg_masked.2018.mean,viirs_ntl_annual_v20_avg_masked.2016.mean,viirs_ntl_annual_v20_avg_masked.2017.mean,viirs_ntl_annual_v20_avg_masked.2015.mean,viirs_ntl_annual_v20_avg_masked.2012.mean,viirs_ntl_annual_v20_avg_masked.2013.mean,viirs_ntl_annual_v20_avg_masked.2014.mean,udel_precip_v501_mean.2016.mean,udel_precip_v501_mean.2017.mean,udel_precip_v501_mean.2015.mean,udel_precip_v501_mean.2014.mean,udel_precip_v501_mean.2012.mean,udel_precip_v501_mean.2011.mean,udel_precip_v501_mean.2013.mean,udel_precip_v501_mean.2010.mean,udel_air_temp_v501_mean.2017.mean,udel_air_temp_v501_mean.2016.mean,udel_air_temp_v501_mean.2015.mean,udel_air_temp_v501_mean.2014.mean,udel_air_temp_v501_mean.2013.mean,udel_air_temp_v501_mean.2012.mean,udel_air_temp_v501_mean.2011.mean,udel_air_temp_v501_mean.2010.mean,oco2_v10r_xco2_yearly.2020.mean,oco2_v10r_xco2_yearly.2019.mean,oco2_v10r_xco2_yearly.2018.mean,oco2_v10r_xco2_yearly.2017.mean,oco2_v10r_xco2_yearly.2016.mean,oco2_v10r_xco2_yearly.2015.mean,gpw_v4_rev11_count.2020.sum,gpw_v4_rev11_count.2020.count,gpw_v4_rev11_count.2015.sum,gpw_v4_rev11_count.2015.count,gpw_v4_rev11_count.2010.sum,gpw_v4_rev11_count.2010.count,ambient_air_pollution_2013_o3.2013.mean,ambient_air_pollution_2013_o3.2012.mean,ambient_air_pollution_2013_o3.2011.mean,ambient_air_pollution_2013_o3.2010.mean,ambient_air_pollution_2013_fus_calibrated.2013.mean,ambient_air_pollution_2013_fus_calibrated.2012.mean,ambient_air_pollution_2013_fus_calibrated.2011.mean,ambient_air_pollution_2013_fus_calibrated.2010.mean,Level,gqid,id,shapeGroup,shapeID,shapeISO,shapeName,shapeType
0,2266.4699707,94871.3359375,2266.4699707,93874.21875,2266.4699707,92981.4453125,2266.4699707,91943.796875,2266.4699707,90088.203125,2266.4699707,91039.15625,2266.4699707,88160.84375,2266.4699707,89202.4453125,2266.4699707,86187.125,2266.4699707,87312.484375,2266.4699707,85234.375,9028.86035156,8992.41113281,9028.86035156,8992.41113281,9028.86035156,8992.41113281,9028.86035156,8992.41113281,9028.86035156,8992.41113281,9028.86035156,8992.41113281,9028.86035156,8992.41113281,9028.86035156,8992.41113281,9028.86035156,8992.41113281,0.000969786808761,0.00072871450571,0.000565881746577,0.000341852644275,0.000485979414248,0.00108908317565,0.00146589015197,0.00165634418732,0.00216155013671,298.304263469,284.275871996,241.418410781,286.379844883,236.363372021,288.327713084,256.144379777,305.634689833,26.1678294584,26.2374031019,25.9824612414,25.7824612414,25.6727713189,25.6061046523,25.7817829468,26.1851744196,409.387238987,410.160821113,406.732690183,406.533001618,403.598490777,400.475111502,106855.921875,2265.91992188,100598.429688,2265.91992188,93905.3125,2265.91992188,54.1562278453,54.1770411105,54.1978625716,54.2186924578,30.6362249339,23.6337569266,18.6373506452,15.0337920808,ADM1,0,0,LBR,LBR-ADM1-1627179B51883426,LR-BM,Bomi,ADM1
1,10301.7304688,383167.96875,10301.7304688,379005.90625,10301.7304688,374676.8125,10301.7304688,370472.28125,10301.7304688,362466.375,10301.7304688,366507.15625,10301.7304688,354529.28125,10301.7304688,358587.875,10301.7304688,346644.71875,10301.7304688,350610.65625,10301.7304688,343083.5,41117.24086,41027.2099304,41117.24086,41027.2099304,41117.24086,41027.2099304,41117.24086,41027.2099304,41117.24086,41027.2099304,41117.24086,41027.2099304,41117.24086,41027.2099304,41117.24086,41027.2099304,41117.24086,41027.2099304,0.0028919651739,0.00286414958425,0.00209062876802,0.00281253333997,0.00323252713559,0.00237872844115,0.00190481264893,0.00206904825037,0.00184172469053,205.78213138,196.355428992,157.521960907,208.082205972,166.211968957,192.248807557,190.140542847,216.615216957,26.1587407919,26.27230314,26.0119827173,25.7608575169,25.6873063095,25.6056129933,25.7979256236,26.1253359576,409.373916462,409.931949214,405.879818473,405.541550013,403.120291929,401.109836063,429675.53125,10301.3603516,403701.59375,10301.3603516,375963.65625,10301.3603516,55.9609949164,55.9856092334,56.0102347269,56.0348712734,18.5148354138,17.6672015241,17.2491062997,17.2121046214,ADM1,1,1,LBR,LBR-ADM1-1627179B30038906,LR-BG,Bong,ADM1
2,11647.7792969,110836.1875,11647.7792969,108469.296875,11647.7792969,105930.304688,11647.7792969,103615.859375,11647.7792969,99019.984375,11647.7792969,101299.359375,11647.7792969,94618.234375,11647.7792969,96868.9375,11647.7792969,90517.234375,11647.7792969,92498.1171875,11647.7792969,88451.0390625,46506.1293359,46420.9919141,46506.1293359,46420.9919141,46506.1293359,46420.9919141,46506.1293359,46420.9919141,46506.1293359,46420.9919141,46506.1293359,46420.9919141,46506.1293359,46420.9919141,46506.1293359,46420.9919141,46506.1293359,46420.9919141,0.0,0.0,0.0,0.0,0.0,8.85271906003e-05,6.64832266229e-05,0.000104895945359,5.15821013751e-05,224.510393991,209.718861301,165.455527818,214.568357374,175.06254408,210.010527484,191.334981053,234.546798469,26.0054497402,26.0632721724,25.8269796193,25.5966683696,25.5129875812,25.4261482286,25.6342359711,26.0340080491,410.300830513,409.344203779,407.277761048,406.710710602,403.438583313,400.791460274,125590.46875,11647.9003906,111457.921875,11647.9003906,98043.390625,11647.9003906,56.3613038433,56.3881587583,56.415027227,56.4419084553,32.1271807413,25.5558195199,20.6903673127,17.0502910842,ADM1,2,2,LBR,LBR-ADM1-1627179B92154571,LR-GP,Gbarpolu,ADM1
3,9276.49023438,258295.546875,9276.49023438,254892.5,9276.49023438,251244.25,9276.49023438,248102.71875,9276.49023438,241255.375,9276.49023438,244644.28125,9276.49023438,234556.203125,9276.49023438,237974.96875,9276.49023438,228628.40625,9276.49023438,231449.59375,9276.49023438,225043.828125,37026.3112793,36940.5283203,37026.3112793,36940.5283203,37026.3112793,36940.5283203,37026.3112793,36940.5283203,37026.3112793,36940.5283203,37026.3112793,36940.5283203,37026.3112793,36940.5283203,37026.3112793,36940.5283203,37026.3112793,36940.5283203,0.00924241453421,0.00915754827168,0.0101617423663,0.0058161047221,0.011274183679,0.00707229837217,0.00674416660434,0.00837073141616,0.00663778622327,260.385813529,252.161686842,218.050494354,264.029673697,214.417522882,249.86494979,243.870212206,271.609715546,26.4569777455,26.5687256466,26.2649478735,26.0363748211,25.9888369735,25.9119246738,26.1019797809,26.4318985719,410.801831069,409.618893904,405.94752129,404.535021681,401.343665458,397.957382995,291923.40625,9276.04003906,270528.90625,9276.04003906,248483.84375,9276.04003906,54.3120776937,54.3320133017,54.3519562814,54.3719068223,17.0560796978,15.984735917,15.3646803284,15.1118978175,ADM1,3,3,LBR,LBR-ADM1-1627179B1009088,LR-GB,Grand Bassa,ADM1
4,5598.35986328,167213.0625,5598.35986328,164182.828125,5598.35986328,160351.5,5598.35986328,157532.671875,5598.35986328,151324.375,5598.35986328,154508.984375,5598.35986328,146026.09375,5598.35986328,148823.09375,5598.35986328,140434.0,5598.35986328,143384.46875,5598.35986328,137373.609375,22337.7499962,22275.1886063,22337.7499962,22275.1886063,22337.7499962,22275.1886063,22337.7499962,22275.1886063,22337.7499962,22275.1886063,22337.7499962,22275.1886063,22337.7499962,22275.1886063,22337.7499962,22275.1886063,22337.7499962,22275.1886063,0.00471376600163,0.00446776398251,0.00466628627999,0.00549328625673,0.00566672879802,0.00521237986693,0.000100803492139,0.000197407287701,0.00102689933665,291.912565293,277.255947226,222.121774651,268.887717925,218.960104465,279.239338145,235.091849624,296.236076276,26.3574091619,26.3752305927,26.1389736107,25.9426858465,25.8327379026,25.7520092359,25.9510531932,26.4017900252,409.103858822,410.289038651,406.781286627,406.102145785,402.210191155,399.822870485,183843.09375,5597.72998047,165186.03125,5597.72998047,147120.390625,5597.72998047,55.2810781229,55.3038158126,55.3265628602,55.349319721,28.4840712544,23.6469326642,19.8550337552,16.8645333008,ADM1,4,4,LBR,LBR-ADM1-1627179B81865997,LR-CM,Grand Cape Mount,ADM1
5,12672.2402344,176473.734375,12672.2402344,171512.3125,12672.2402344,166852.109375,12672.2402344,161985.75,12672.2402344,152957.96875,12672.2402344,157442.171875,12672.2402344,144638.4375,12672.2402344,148767.640625,12672.2402344,136621.421875,12672.2402344,140556.203125,12672.2402344,132903.90625,50590.9820557,50493.9277954,50590.9820557,50493.9277954,50590.9820557,50493.9277954,50590.9820557,50493.9277954,50590.9820557,50493.9277954,50590.9820557,50493.9277954,50590.9820557,50493.9277954,50590.9820557,50493.9277954,50590.9820557,50493.9277954,0.000820411063538,0.000740475059673,0.000965455913256,0.000916395686164,0.000957414219675,0.00095599918933,0.00102892700785,0.00108787786459,0.000981168501269,191.062483179,184.42448231,159.592922379,206.115404151,151.506958368,182.811185718,178.717604721,206.669495394,26.9427738253,27.0454786927,26.7699035893,26.5501230944,26.4722577743,26.296506892,26.5535865317,26.8252432301,411.947965248,409.134143739,406.335830773,402.130894424,401.836545682,400.007099622,198541.875,12671.2900391,171041.796875,12671.2900391,146075.984375,12671.2900391,55.2577326263,55.2796089398,55.3014943807,55.3233887489,28.8164976291,23.0471691869,19.0207698783,16.1770432741,ADM1,5,5,LBR,LBR-ADM1-1627179B72460129,LR-GG,Grand Gedeh,ADM1
6,4543.80029297,55601.125,4543.80029297,55751.2734375,4543.80029297,55910.5820312,4543.80029297,56083.7304688,4543.80029297,56416.6914062,4543.80029297,56257.6875,4543.80029297,56675.0351562,4543.80029297,56529.109375,4543.80029297,57127.6523438,4543.80029297,56945.4648438,4543.80029297,57267.0859375,18132.5195312,18088.46875,18132.5195312,18088.46875,18132.5195312,18088.46875,18132.5195312,18088.46875,18132.5195312,18088.46875,18132.5195312,18088.46875,18132.5195312,18088.46875,18132.5195312,18088.46875,18132.5195312,18088.46875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.010403822,248.926788983,224.250585725,268.708053495,202.250858499,256.255127428,239.319183302,271.202193048,25.8791392348,25.9677428562,25.6644336055,25.5160882308,25.451322395,25.2616167656,25.5537758432,25.8404184272,411.168393308,410.078070249,405.695066866,404.654007155,402.946618606,399.357928953,62900.28125,4544.22998047,63273.5390625,4544.22998047,63114.4414062,4544.22998047,53.1209175908,53.1399377482,53.1589647525,53.1779986199,25.4572999377,20.2057195619,16.4119952552,13.6271499471,ADM1,6,6,LBR,LBR-ADM1-1627179B48705910,LR-GK,Grand Kru,ADM1
7,11709.4003906,333305.03125,11709.4003906,329859.90625,11709.4003906,324475.84375,11709.4003906,320693.5,11709.4003906,311591.5625,11709.4003906,316282.4375,11709.4003906,303986.96875,11709.4003906,307892.5,11709.4003906,296151.4375,11709.4003906,300562.03125,11709.4003906,292350.84375,46739.4282227,46639.9689941,46739.4282227,46639.9689941,46739.4282227,46639.9689941,46739.4282227,46639.9689941,46739.4282227,46639.9689941,46739.4282227,46639.9689941,46739.4282227,46639.9689941,46739.4282227,46639.9689941,46739.4282227,46639.9689941,1.91519521333e-05,1.99440625557e-05,0.0,0.000207669212086,0.000222863083685,0.000852648036933,0.000517604120331,0.000559673765653,0.000566731678152,221.268798938,203.199153369,162.034534165,216.872612431,193.629603324,203.946265763,202.966249896,233.549719837,25.1227798075,25.1921473187,25.0129784089,24.7362675557,24.6542298332,24.5482713581,24.7791787391,25.1808215925,411.670146193,409.376646839,406.591822135,406.937886773,404.054916199,401.756638517,376312.90625,11709.9599609,349091.71875,11709.9599609,321020.46875,11709.9599609,60.0328940125,60.0695979649,60.1063254558,60.1430755789,26.484265942,22.647048641,19.8321232659,17.7276675469,ADM1,7,7,LBR,LBR-ADM1-1627179B89842596,LR-LO,Lofa,ADM1
8,3035.7199707,264185.15625,3035.7199707,254621.03125,3035.7199707,261292.171875,3035.7199707,252405.390625,3035.7199707,241662.75,3035.7199707,244790.625,3035.7199707,241345.25,3035.7199707,241106.140625,3035.7199707,235737.40625,3035.7199707,233530.015625,3035.7199707,229054.796875,12089.640625,12036.0800781,12089.640625,12036.0800781,12089.640625,12036.0800781,12089.640625,12036.0800781,12089.640625,12036.0800781,12089.640625,12036.0800781,12089.640625,12036.0800781,12089.640625,12036.0800781,12089.640625,12036.0800781,0.0484002660008,0.0483900674175,0.0494644621592,0.0388175561305,0.0504628881199,0.0497746247743,0.0389795528743,0.0475993370692,0.0469448141102,261.643149702,251.701028173,214.112884324,260.481739102,213.634476056,250.349343019,238.810583502,271.683106024,26.7673917147,26.866603352,26.5672258652,26.3347544777,26.2792623612,26.232093494,26.4022974739,26.7426277076,409.645326446,410.539954213,406.431123156,406.211298576,404.224100028,400.508000915,324454.0,3035.58007812,295178.5,3035.58007812,266589.21875,3035.58007812,54.1058871849,54.1271138373,54.1483490068,54.1695929511,17.3133053502,17.3090868003,17.3837135621,17.5397180937,ADM1,8,8,LBR,LBR-ADM1-1627179B12962925,LR-MG,Margibi,ADM1
9,2687.77978516,183146.140625,2687.77978516,178334.6875,2687.77978516,173182.875,2687.77978516,168649.9375,2687.77978516,159186.828125,2687.77978516,163970.75,2687.77978516,150637.640625,2687.77978516,155058.75,2687.77978516,142268.328125,2687.77978516,146724.4375,2687.77978516,138357.125,10707.5800781,10665.0400391,10707.5800781,10665.0400391,10707.5800781,10665.0400391,10707.5800781,10665.0400391,10707.5800781,10665.0400391,10707.5800781,10665.0400391,10707.5800781,10665.0400391,10707.5800781,10665.0400391,10707.5800781,10665.0400391,0.00874825305568,0.00578242338253,0.0055654732743,0.00369325598308,0.00485969720529,0.00386745148741,0.00226294862302,0.00293135943163,0.00261189812368,244.473222165,240.621318078,216.590334662,259.298955719,191.337486588,250.2008291,230.3476523,262.836847819,25.7718040127,25.8547459665,25.5398439125,25.3994504078,25.3464121094,25.1405297433,25.4434733583,25.7384755432,409.90254363,409.874857117,406.435955674,404.093684647,402.925330752,398.978645254,205741.015625,2687.26000977,177519.453125,2687.26000977,151815.96875,2687.26000977,53.1624207348,53.1809767156,53.1995390194,53.2181080816,19.3131024937,16.6095963945,14.5189110851,12.8854791484,ADM1,9,9,LBR,LBR-ADM1-1627179B95932443,LR-MY,Maryland,ADM1
