asdf_id,worldpop_pop_count_1km_mosaic.2020.count,worldpop_pop_count_1km_mosaic.2020.sum,worldpop_pop_count_1km_mosaic.2019.count,worldpop_pop_count_1km_mosaic.2019.sum,worldpop_pop_count_1km_mosaic.2018.count,worldpop_pop_count_1km_mosaic.2018.sum,worldpop_pop_count_1km_mosaic.2017.count,worldpop_pop_count_1km_mosaic.2017.sum,worldpop_pop_count_1km_mosaic.2015.count,worldpop_pop_count_1km_mosaic.2015.sum,worldpop_pop_count_1km_mosaic.2016.count,worldpop_pop_count_1km_mosaic.2016.sum,worldpop_pop_count_1km_mosaic.2014.count,worldpop_pop_count_1km_mosaic.2014.sum,worldpop_pop_count_1km_mosaic.2013.count,worldpop_pop_count_1km_mosaic.2013.sum,worldpop_pop_count_1km_mosaic.2012.count,worldpop_pop_count_1km_mosaic.2012.sum,worldpop_pop_count_1km_mosaic.2011.count,worldpop_pop_count_1km_mosaic.2011.sum,worldpop_pop_count_1km_mosaic.2010.count,worldpop_pop_count_1km_mosaic.2010.sum,viirs_ntl_annual_v20_cf_cvg.2020.count,viirs_ntl_annual_v20_cf_cvg.2020.sum,viirs_ntl_annual_v20_cf_cvg.2019.count,viirs_ntl_annual_v20_cf_cvg.2019.sum,viirs_ntl_annual_v20_cf_cvg.2018.count,viirs_ntl_annual_v20_cf_cvg.2018.sum,viirs_ntl_annual_v20_cf_cvg.2017.count,viirs_ntl_annual_v20_cf_cvg.2017.sum,viirs_ntl_annual_v20_cf_cvg.2016.count,viirs_ntl_annual_v20_cf_cvg.2016.sum,viirs_ntl_annual_v20_cf_cvg.2015.count,viirs_ntl_annual_v20_cf_cvg.2015.sum,viirs_ntl_annual_v20_cf_cvg.2013.count,viirs_ntl_annual_v20_cf_cvg.2013.sum,viirs_ntl_annual_v20_cf_cvg.2014.count,viirs_ntl_annual_v20_cf_cvg.2014.sum,viirs_ntl_annual_v20_cf_cvg.2012.count,viirs_ntl_annual_v20_cf_cvg.2012.sum,viirs_ntl_annual_v20_avg_masked.2020.mean,viirs_ntl_annual_v20_avg_masked.2019.mean,viirs_ntl_annual_v20_avg_masked.2018.mean,viirs_ntl_annual_v20_avg_masked.2017.mean,viirs_ntl_annual_v20_avg_masked.2016.mean,viirs_ntl_annual_v20_avg_masked.2014.mean,viirs_ntl_annual_v20_avg_masked.2015.mean,viirs_ntl_annual_v20_avg_masked.2013.mean,viirs_ntl_annual_v20_avg_masked.2012.mean,udel_precip_v501_mean.2017.mean,udel_precip_v501_mean.2016.mean,udel_precip_v501_mean.2015.mean,udel_precip_v501_mean.2014.mean,udel_precip_v501_mean.2013.mean,udel_precip_v501_mean.2012.mean,udel_precip_v501_mean.2011.mean,udel_precip_v501_mean.2010.mean,udel_air_temp_v501_mean.2017.mean,udel_air_temp_v501_mean.2016.mean,udel_air_temp_v501_mean.2015.mean,udel_air_temp_v501_mean.2014.mean,udel_air_temp_v501_mean.2013.mean,udel_air_temp_v501_mean.2012.mean,udel_air_temp_v501_mean.2010.mean,udel_air_temp_v501_mean.2011.mean,oco2_v10r_xco2_yearly.2020.mean,oco2_v10r_xco2_yearly.2019.mean,oco2_v10r_xco2_yearly.2018.mean,oco2_v10r_xco2_yearly.2017.mean,oco2_v10r_xco2_yearly.2016.mean,oco2_v10r_xco2_yearly.2015.mean,gpw_v4_rev11_count.2020.count,gpw_v4_rev11_count.2020.sum,gpw_v4_rev11_count.2015.count,gpw_v4_rev11_count.2015.sum,gpw_v4_rev11_count.2010.count,gpw_v4_rev11_count.2010.sum,gpw_v4_rev11_count.2005.count,gpw_v4_rev11_count.2005.sum,gpw_v4_rev11_count.2000.count,gpw_v4_rev11_count.2000.sum,ambient_air_pollution_2013_o3.2013.mean,ambient_air_pollution_2013_o3.2012.mean,ambient_air_pollution_2013_o3.2011.mean,ambient_air_pollution_2013_o3.2010.mean,ambient_air_pollution_2013_o3.2005.mean,ambient_air_pollution_2013_o3.2000.mean,ambient_air_pollution_2013_fus_calibrated.2013.mean,ambient_air_pollution_2013_fus_calibrated.2012.mean,ambient_air_pollution_2013_fus_calibrated.2011.mean,ambient_air_pollution_2013_fus_calibrated.2010.mean,ambient_air_pollution_2013_fus_calibrated.2000.mean,ambient_air_pollution_2013_fus_calibrated.2005.mean,Level,gqid,id,shapeGroup,shapeID,shapeISO,shapeName,shapeType
0,3456.08007812,4218655.5,3456.08007812,3953364.5,3456.08007812,3705352.0,3456.08007812,3473515.0,3456.08007812,3053779.0,3456.08007812,3256616.75,3456.08007812,2864140.25,3456.08007812,2686635.75,3456.08007812,2520504.5,3456.08007812,2365620.5,3456.08007812,2220312.25,13779.5595703,13734.6103516,13779.5595703,13734.6103516,13779.5595703,13734.6103516,13779.5595703,13734.6103516,13779.5595703,13734.6103516,13779.5595703,13734.6103516,13779.5595703,13734.6103516,13779.5595703,13734.6103516,13779.5595703,13734.6103516,1.46886983713,1.40606824101,1.23688178579,1.22647646461,1.14656781557,1.08603698775,1.06059426761,1.06880465475,0.956348062172,71.6086472529,77.7832576203,76.1625246283,97.4541359099,74.2465801912,83.1283165882,56.6915628874,74.8753330192,28.8023773901,28.9416355409,28.852265003,28.9504865298,28.957118089,28.7349047769,29.0085540782,28.9559068739,413.948838795,409.462029938,408.868433742,405.849820073,403.972106059,400.578355739,3456.02001953,3848419.5,3456.02001953,2903596.25,3456.02001953,2166952.5,3456.02001953,1602690.0,3456.02001953,1192696.25,50.9501543178,50.9480412505,50.945928471,50.9438159794,50.9141540937,50.8138624451,28.1131844501,27.8039189449,27.5023673094,27.2083262217,29.7654808499,29.3691800607,ADM1,0,0,BFA,BFA-ADM1-92566538B94311900,BF-03,Centre,ADM1
1,41458.2108154,1938557.86719,41458.2108154,1897440.42969,41458.2108154,1857363.14453,41458.2108154,1818209.23438,41458.2108154,1742572.99219,41458.2108154,1779886.15625,41458.2108154,1705986.19141,41458.2108154,1670186.95312,41458.2108154,1635471.21484,41458.2108154,1601403.44531,41458.2108154,1568147.37109,165693.285156,165510.396362,165693.285156,165510.396362,165693.285156,165510.396362,165693.285156,165510.396362,165693.285156,165510.396362,165693.285156,165510.396362,165693.285156,165510.396362,165693.285156,165510.396362,165693.285156,165510.396362,0.0108758120359,0.010200576258,0.0105329527077,0.0112382406639,0.00845921980478,0.00591597441509,0.00764671398031,0.00615500325372,0.00487365797861,68.0991659683,69.5443460688,80.3107862405,72.8146804247,67.7407350862,80.4344954328,54.4003956404,85.5840317134,28.9487622569,29.128646085,28.806920018,28.8685903029,28.7227101577,28.4172208172,29.1111336112,28.8599973993,412.079782449,410.175806222,409.245565067,405.094215718,403.542423703,400.501262264,41469.1234741,1770500.06641,41469.1234741,1658954.65234,41469.1234741,1532641.83594,41469.1234741,1396972.03125,41469.1234741,1273528.5625,50.5288981251,50.5273416085,50.5257857813,50.5242305758,50.5040547246,50.409067025,28.4546302089,28.0223931085,27.6067006921,27.2068004969,26.985058831,29.3630819062,ADM1,1,1,BFA,BFA-ADM1-92566538B68782446,BF-01,Boucle du Mouhoun,ADM1
2,22141.8398438,1139590.125,22141.8398438,1073392.25,22141.8398438,1012342.625,22141.8398438,955152.1875,22141.8398438,852668.5,22141.8398438,902116.375,22141.8398438,806691.625,22141.8398438,763681.5,22141.8398438,723478.5625,22141.8398438,685935.9375,22141.8398438,650853.0625,88442.5957031,88317.2412109,88442.5957031,88317.2412109,88442.5957031,88317.2412109,88442.5957031,88317.2412109,88442.5957031,88317.2412109,88442.5957031,88317.2412109,88442.5957031,88317.2412109,88442.5957031,88317.2412109,88442.5957031,88317.2412109,0.0170527415845,0.013023660765,0.010779092963,0.0084561911112,0.00721615200099,0.00551533980946,0.00684892379751,0.00616985336932,0.00512871340791,86.5642481308,103.630350935,97.7584779883,112.37971005,100.979876054,105.283003465,80.2119062098,113.452229633,28.2423799994,28.2664108689,28.0074571821,28.0151425875,27.8669179833,27.5403786176,28.4345419876,27.9160918513,412.221672325,410.654057375,408.224056375,406.114879216,403.790938402,401.660223929,22142.0800781,1041481.25,22142.0800781,812291.5,22142.0800781,636633.625,22142.0800781,500628.03125,22142.0800781,399518.375,60.7695671714,60.7933253083,60.8170930559,60.840870842,60.9251128661,60.8062463482,25.7809720373,25.4189417524,25.0754027027,24.749197109,27.6007233429,27.0947973443,ADM1,2,2,BFA,BFA-ADM1-92566538B23588019,BF-02,Cascades,ADM1
3,17552.0605469,1726216.125,17552.0605469,1673160.125,17552.0605469,1621397.0,17552.0605469,1572096.0,17552.0605469,1478771.0,17552.0605469,1524429.375,17552.0605469,1434536.125,17552.0605469,1392139.875,17552.0605469,1350937.625,17552.0605469,1311259.125,17552.0605469,1272919.375,70294.0722656,70176.4904785,70294.0722656,70176.4904785,70294.0722656,70176.4904785,70294.0722656,70176.4904785,70294.0722656,70176.4904785,70294.0722656,70176.4904785,70294.0722656,70176.4904785,70294.0722656,70176.4904785,70294.0722656,70176.4904785,0.0227239126592,0.0190805881843,0.0198868658387,0.0186880299253,0.0135307340783,0.0137058430795,0.014289805162,0.0121995397981,0.0106420871519,70.9082263366,76.2555355381,79.7656720436,70.5780832567,75.5188562241,83.0947532898,69.4122019506,81.9086143525,29.0976908662,29.194285112,29.0361410968,29.1486079226,29.0304678618,28.819795497,29.1474669623,29.0595817256,412.916152636,410.018590527,406.423276066,406.689557431,401.805958681,400.48136881,17602.3808594,1578094.5,17602.3808594,1408902.125,17602.3808594,1244751.625,17602.3808594,1088248.375,17602.3808594,953873.9375,55.2696304752,55.27559069,55.2815523192,55.2875152049,55.2950141499,55.1860095408,25.7083566794,25.7506322904,25.8100850149,25.886844371,27.6471748919,27.566969612,ADM1,3,3,BFA,BFA-ADM1-92566538B52832699,BF-04,Centre-Est,ADM1
4,23678.2011719,1737029.5,23678.2011719,1691568.75,23678.2011719,1647458.5,23678.2011719,1604552.875,23678.2011719,1522180.5,23678.2011719,1562819.875,23678.2011719,1482559.75,23678.2011719,1444094.75,23678.2011719,1406673.875,23678.2011719,1370395.0,23678.2011719,1334998.0,94611.5498047,94502.6884766,94611.5498047,94502.6884766,94611.5498047,94502.6884766,94611.5498047,94502.6884766,94611.5498047,94502.6884766,94611.5498047,94502.6884766,94611.5498047,94502.6884766,94611.5498047,94502.6884766,94611.5498047,94502.6884766,0.0186169005797,0.0187222607799,0.0194527820685,0.0191699777062,0.0134949407183,0.00966871250036,0.0102911652932,0.010231955433,0.00731317956423,61.7100253764,64.6991328041,63.7218294051,61.9740407238,60.7289811842,68.0297213879,50.7620289027,59.2733297998,29.1867063447,29.3778614574,29.0542636589,29.2975563152,29.2183825912,28.9375777654,29.4798217675,29.3044661171,412.803595072,409.017438167,408.137558525,405.218650737,404.005197033,399.65807655,23679.6503906,1586879.0,23679.6503906,1449498.0,23679.6503906,1305025.25,23679.6503906,1158846.375,23679.6503906,1028864.5,50.0761017125,50.0677339844,50.0593678469,50.0510031237,50.0020002365,49.9021764733,31.9818145045,31.9026548121,31.8399323304,31.7938294802,31.9091999137,33.7877748357,ADM1,4,4,BFA,BFA-ADM1-92566538B22389203,BF-05,Centre-Nord,ADM1
5,26139.640625,1713954.375,26139.640625,1669546.75,26139.640625,1626429.75,26139.640625,1584976.375,26139.640625,1506272.125,26139.640625,1544929.875,26139.640625,1468928.375,26139.640625,1432885.375,26139.640625,1397963.75,26139.640625,1364227.75,26139.640625,1331564.5,104415.443558,104272.144073,104415.443558,104272.144073,104415.443558,104272.144073,104415.443558,104272.144073,104415.443558,104272.144073,104415.443558,104272.144073,104415.443558,104272.144073,104415.443558,104272.144073,104415.443558,104272.144073,0.0162737867864,0.0153628396547,0.0152167826881,0.0150837922024,0.0121561593738,0.0131654935668,0.0129397998456,0.0148219163589,0.00978592611573,69.3973680447,75.5290199874,75.2936056174,86.078288973,76.3749588433,82.8333759876,62.4547843918,84.9632717592,28.6900948493,28.7702200095,28.5562481961,28.5740795713,28.4769075323,28.2786507193,28.7369846266,28.5140467686,412.508545982,409.685082246,408.181741861,405.344823004,401.977097021,400.304713354,26139.9394531,1566257.375,26139.9394531,1434717.625,26139.9394531,1301832.375,26139.9394531,1170214.75,26139.9394531,1055836.125,53.4836710655,53.4879903319,53.4923107502,53.4966325046,53.5014172653,53.3978557249,28.6401016864,28.2700711323,27.9196624094,27.5876618039,28.9804198813,29.1565681961,ADM1,5,5,BFA,BFA-ADM1-92566538B18918103,BF-06,Centre-Ouest,ADM1
6,13727.9296875,881633.1875,13727.9296875,859619.0,13727.9296875,838414.0625,13727.9296875,818101.75,13727.9296875,780156.25,13727.9296875,798676.5,13727.9296875,762354.75,13727.9296875,745202.4375,13727.9296875,728655.5,13727.9296875,712941.625,13727.9296875,697813.875,55060.940918,54961.090332,55060.940918,54961.090332,55060.940918,54961.090332,55060.940918,54961.090332,55060.940918,54961.090332,55060.940918,54961.090332,55060.940918,54961.090332,55060.940918,54961.090332,55060.940918,54961.090332,0.0128609116153,0.0133814927589,0.0103607639332,0.00968431588925,0.00572539318117,0.0050817489557,0.00517097332398,0.00507739598627,0.00462330737222,74.0459462634,83.1194075383,79.4244048369,82.6900840711,80.7571569552,86.6186229821,68.7952308541,96.4251796406,28.8466700757,28.8670882858,28.7869760414,28.8367594347,28.6548762249,28.4674541713,28.8538068038,28.6461859111,412.973906969,410.778761794,407.978707964,406.317622986,403.463085327,400.205442544,13790.1396484,807853.3125,13790.1396484,744688.75,13790.1396484,683417.625,13790.1396484,623326.0625,13790.1396484,571754.0625,55.138537091,55.1443900552,55.1502440807,55.1560993271,55.1664463259,55.0583999503,26.9863050548,26.9465151874,26.9086329238,26.8726046424,28.7862071729,28.5832521578,ADM1,6,6,BFA,BFA-ADM1-92566538B58138595,BF-07,Centre-Sud,ADM1
7,55739.9174805,2030804.54688,55739.9174805,1954831.875,55739.9174805,1882088.59375,55739.9174805,1812310.0,55739.9174805,1681665.85156,55739.9174805,1745615.46875,55739.9174805,1620353.53906,55739.9174805,1561470.72656,55739.9174805,1504981.82031,55739.9174805,1450891.71094,55739.9174805,1398930.96875,223000.843321,222814.936029,223000.843321,222814.936029,223000.843321,222814.936029,223000.843321,222814.936029,223000.843321,222814.936029,223000.843321,222814.936029,223000.843321,222814.936029,223000.843321,222814.936029,223000.843321,222814.936029,0.00486035384534,0.00550621423646,0.00581412146824,0.00378275064586,0.0025621205877,0.00261519262703,0.00248365442297,0.00259352676123,0.00232080382674,69.6611746559,67.7797468149,70.8433273287,63.1643908542,69.0418676573,74.2955050676,63.3998219487,66.2729657532,29.1817735291,29.3972489,29.1741027149,29.2585294694,29.1591188322,28.9910994898,29.3606670332,29.27940737,412.815798205,410.730863909,408.099260727,405.753758522,402.071489778,400.016740875,55795.9521484,1857232.5625,55795.9521484,1602914.55469,55795.9521484,1368721.63281,55795.9521484,1156471.41016,55795.9521484,979712.273438,52.869914787,52.8681946314,52.8664754688,52.8647572861,52.8428100121,52.7361088287,27.8406186521,27.8348685362,27.8418266293,27.8614835523,28.7708296146,29.4946097437,ADM1,7,7,BFA,BFA-ADM1-92566538B96386527,BF-08,Est,ADM1
8,30629.8486328,2480599.01562,30629.8486328,2387270.28125,30629.8486328,2297827.95312,30629.8486328,2211978.67188,30629.8486328,2050740.125,30629.8486328,2129704.78125,30629.8486328,1974987.03125,30629.8486328,1902364.82812,30629.8486328,1832655.6875,30629.8486328,1765723.03125,30629.8486328,1701623.25,122370.064575,122217.230835,122370.064575,122217.230835,122370.064575,122217.230835,122370.064575,122217.230835,122370.064575,122217.230835,122370.064575,122217.230835,122370.064575,122217.230835,122370.064575,122217.230835,122370.064575,122217.230835,0.0509554095253,0.0478173017588,0.0457915185612,0.0475064699402,0.04218881332,0.036849395371,0.0395639302927,0.038505109548,0.0345298802391,73.4256777135,96.8508939351,94.4303703733,102.918553541,87.6197228275,93.1256535408,69.9292620581,106.222103785,28.3014729491,28.3750078693,28.096962822,28.0322790316,27.9050745479,27.5314780744,28.4224471643,27.9239903733,412.249101415,410.836064672,407.800703702,405.695132433,403.616635996,400.71643517,30630.6210938,2265509.53125,30630.6210938,1952309.90625,30630.6210938,1663075.04688,30630.6210938,1401617.3125,30630.6210938,1185029.89062,54.8329377263,54.8418238073,54.8507119878,54.8596022929,54.8837455729,54.783383128,25.9039876258,25.5923135647,25.2992025873,25.0234155847,26.170988891,27.7471648947,ADM1,8,8,BFA,BFA-ADM1-92566538B1847470,BF-09,Hauts-Bassins,ADM1
9,19763.9707031,1598430.75,19763.9707031,1561916.625,19763.9707031,1527192.25,19763.9707031,1492329.75,19763.9707031,1426332.125,19763.9707031,1459159.125,19763.9707031,1395936.25,19763.9707031,1364362.125,19763.9707031,1333607.375,19763.9707031,1305143.0,19763.9707031,1275760.5,78994.2802734,78891.5449219,78994.2802734,78891.5449219,78994.2802734,78891.5449219,78994.2802734,78891.5449219,78994.2802734,78891.5449219,78994.2802734,78891.5449219,78994.2802734,78891.5449219,78994.2802734,78891.5449219,78994.2802734,78891.5449219,0.0215758613359,0.0190522430814,0.017648489936,0.0145479649591,0.0107765275763,0.0092484194421,0.00945866483231,0.00879357879519,0.00804253851112,71.5641994251,74.5179462732,74.6195051213,67.0562230972,63.8024369267,75.1888349988,48.5435951815,73.8517973886,29.2111454956,29.3831063189,28.9868222985,29.2434659695,29.2290899991,28.8851915095,29.5690263334,29.3777088874,412.186596523,410.068952982,407.798289882,407.486849656,403.095531117,399.820742395,19774.0585938,1460254.25,19774.0585938,1358896.5,19774.0585938,1246544.125,19774.0585938,1127758.0,19774.0585938,1020211.25,49.4158793897,49.4091193923,49.4023608008,49.3956032534,49.3510097432,49.2562906128,34.0939052496,33.4456812574,32.825423872,32.2316046601,31.5280357902,33.7318433076,ADM1,9,9,BFA,BFA-ADM1-92566538B65948545,BF-10,Nord,ADM1
