asdf_id,worldpop_pop_count_1km_mosaic.2020.count,worldpop_pop_count_1km_mosaic.2020.sum,worldpop_pop_count_1km_mosaic.2019.count,worldpop_pop_count_1km_mosaic.2019.sum,worldpop_pop_count_1km_mosaic.2018.count,worldpop_pop_count_1km_mosaic.2018.sum,worldpop_pop_count_1km_mosaic.2017.count,worldpop_pop_count_1km_mosaic.2017.sum,worldpop_pop_count_1km_mosaic.2016.count,worldpop_pop_count_1km_mosaic.2016.sum,worldpop_pop_count_1km_mosaic.2015.count,worldpop_pop_count_1km_mosaic.2015.sum,worldpop_pop_count_1km_mosaic.2014.count,worldpop_pop_count_1km_mosaic.2014.sum,worldpop_pop_count_1km_mosaic.2012.count,worldpop_pop_count_1km_mosaic.2012.sum,worldpop_pop_count_1km_mosaic.2013.count,worldpop_pop_count_1km_mosaic.2013.sum,worldpop_pop_count_1km_mosaic.2011.count,worldpop_pop_count_1km_mosaic.2011.sum,worldpop_pop_count_1km_mosaic.2010.count,worldpop_pop_count_1km_mosaic.2010.sum,viirs_ntl_annual_v20_cf_cvg.2019.sum,viirs_ntl_annual_v20_cf_cvg.2019.count,viirs_ntl_annual_v20_cf_cvg.2020.sum,viirs_ntl_annual_v20_cf_cvg.2020.count,viirs_ntl_annual_v20_cf_cvg.2018.sum,viirs_ntl_annual_v20_cf_cvg.2018.count,viirs_ntl_annual_v20_cf_cvg.2017.sum,viirs_ntl_annual_v20_cf_cvg.2017.count,viirs_ntl_annual_v20_cf_cvg.2013.sum,viirs_ntl_annual_v20_cf_cvg.2013.count,viirs_ntl_annual_v20_cf_cvg.2016.sum,viirs_ntl_annual_v20_cf_cvg.2016.count,viirs_ntl_annual_v20_cf_cvg.2012.sum,viirs_ntl_annual_v20_cf_cvg.2012.count,viirs_ntl_annual_v20_cf_cvg.2015.sum,viirs_ntl_annual_v20_cf_cvg.2015.count,viirs_ntl_annual_v20_cf_cvg.2014.sum,viirs_ntl_annual_v20_cf_cvg.2014.count,viirs_ntl_annual_v20_avg_masked.2019.mean,viirs_ntl_annual_v20_avg_masked.2014.mean,viirs_ntl_annual_v20_avg_masked.2012.mean,viirs_ntl_annual_v20_avg_masked.2016.mean,viirs_ntl_annual_v20_avg_masked.2015.mean,viirs_ntl_annual_v20_avg_masked.2013.mean,viirs_ntl_annual_v20_avg_masked.2017.mean,viirs_ntl_annual_v20_avg_masked.2020.mean,viirs_ntl_annual_v20_avg_masked.2018.mean,udel_precip_v501_mean.2016.mean,udel_precip_v501_mean.2017.mean,udel_precip_v501_mean.2015.mean,udel_precip_v501_mean.2014.mean,udel_precip_v501_mean.2011.mean,udel_precip_v501_mean.2012.mean,udel_precip_v501_mean.2013.mean,udel_precip_v501_mean.2010.mean,udel_air_temp_v501_mean.2017.mean,udel_air_temp_v501_mean.2016.mean,udel_air_temp_v501_mean.2014.mean,udel_air_temp_v501_mean.2013.mean,udel_air_temp_v501_mean.2015.mean,udel_air_temp_v501_mean.2012.mean,udel_air_temp_v501_mean.2011.mean,udel_air_temp_v501_mean.2010.mean,oco2_v10r_xco2_yearly.2020.mean,oco2_v10r_xco2_yearly.2019.mean,oco2_v10r_xco2_yearly.2018.mean,oco2_v10r_xco2_yearly.2017.mean,oco2_v10r_xco2_yearly.2016.mean,oco2_v10r_xco2_yearly.2015.mean,gpw_v4_rev11_count.2020.sum,gpw_v4_rev11_count.2020.count,gpw_v4_rev11_count.2015.sum,gpw_v4_rev11_count.2015.count,gpw_v4_rev11_count.2010.sum,gpw_v4_rev11_count.2010.count,ambient_air_pollution_2013_o3.2013.mean,ambient_air_pollution_2013_o3.2012.mean,ambient_air_pollution_2013_o3.2011.mean,ambient_air_pollution_2013_o3.2010.mean,ambient_air_pollution_2013_fus_calibrated.2013.mean,ambient_air_pollution_2013_fus_calibrated.2012.mean,ambient_air_pollution_2013_fus_calibrated.2011.mean,ambient_air_pollution_2013_fus_calibrated.2010.mean,Level,gqid,id,shapeGroup,shapeID,shapeISO,shapeName,shapeType
0,776.079956055,19079.7773438,776.079956055,17716.2929688,776.079956055,16408.5351562,776.079956055,15120.2382812,776.079956055,13982.8300781,776.079956055,12906.4599609,776.079956055,11959.0087891,776.079956055,10260.2070312,776.079956055,11073.6699219,776.079956055,9463.79785156,776.079956055,8769.48242188,3073.0300293,3090.70996094,3073.0300293,3090.70996094,3073.0300293,3090.70996094,3073.0300293,3090.70996094,3073.0300293,3090.70996094,3073.0300293,3090.70996094,3073.0300293,3090.70996094,3073.0300293,3090.70996094,3073.0300293,3090.70996094,0.158644212398,0.0730898471215,0.065675791648,0.0814202777073,0.0759447167102,0.0688078703088,0.119572597706,0.164462813955,0.144218830067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,411.910817076,408.937876979,406.69594696,405.856682036,401.979505301,401.198984957,19623.5429688,775.630004883,13260.7851562,775.630004883,8882.56835938,775.630004883,44.519560272,44.5580888737,44.5966518742,44.6352483702,37.0557197324,38.4459867754,39.9061902348,41.4399752701,ADM1,0,0,CPV,CPV-ADM1-35879248B31395490,CV-BV,Boa Vista,ADM1
1,85.6200027466,4687.58544922,85.6200027466,4780.67285156,85.6200027466,4910.51171875,85.6200027466,4899.20751953,85.6200027466,4960.60253906,85.6200027466,4968.35107422,85.6200027466,5100.86816406,85.6200027466,5322.68603516,85.6200027466,5202.97851562,85.6200027466,5343.67333984,85.6200027466,5403.55957031,330.170013428,337.579986572,330.170013428,337.579986572,330.170013428,337.579986572,330.170013428,337.579986572,330.170013428,337.579986572,330.170013428,337.579986572,330.170013428,337.579986572,330.170013428,337.579986572,330.170013428,337.579986572,0.275834825127,0.118679917917,0.064896982736,0.117369339097,0.142129339534,0.0711712613584,0.239624039527,0.303762384666,0.214211286599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413.063987712,411.052610013,406.886334737,405.824037439,402.384381325,399.797088206,4736.43359375,85.640007019,5030.79394531,85.640007019,5296.62255859,85.640007019,42.1900291443,42.2100105286,42.2299995422,42.25,45.4866990875,41.7076851806,38.24263,35.06545,ADM1,1,1,CPV,CPV-ADM1-35879248B69912584,CV-BR,Brava,ADM1
2,335.630004883,6428.71386719,335.630004883,6446.30957031,335.630004883,6469.12646484,335.630004883,6471.11083984,335.630004883,6502.44238281,335.630004883,6514.765625,335.630004883,6538.41015625,335.630004883,6571.41992188,335.630004883,6559.81347656,335.630004883,6575.42480469,335.630004883,6619.01074219,1320.82006836,1332.39990234,1320.82006836,1332.39990234,1320.82006836,1332.39990234,1320.82006836,1332.39990234,1320.82006836,1332.39990234,1320.82006836,1332.39990234,1320.82006836,1332.39990234,1320.82006836,1332.39990234,1320.82006836,1332.39990234,0.148681640575,0.0556478054385,0.041866975437,0.0796772573039,0.0741506712752,0.0506786080601,0.143584377431,0.175427569185,0.13554576437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412.277724208,409.447705505,408.678882517,406.282146785,404.518703181,400.558079872,6543.33154297,335.429992676,6623.03857422,335.429992676,6644.97119141,335.429992676,43.6708225662,43.7007810914,43.7307590897,43.7607616837,55.7797479794,49.0627483055,43.1711696746,38.0017256154,ADM1,2,2,CPV,CPV-ADM1-35879248B5742389,CV-MA,Maio,ADM1
3,275.040008545,21064.7832031,275.040008545,21328.9121094,275.040008545,21563.2734375,275.040008545,21790.0253906,275.040008545,21955.6054688,275.040008545,22164.8789062,275.040008545,22582.0859375,275.040008545,23040.9726562,275.040008545,22799.0585938,275.040008545,23351.4902344,275.040008545,23655.53125,1073.14001465,1086.7800293,1073.14001465,1086.7800293,1073.14001465,1086.7800293,1073.14001465,1086.7800293,1073.14001465,1086.7800293,1073.14001465,1086.7800293,1073.14001465,1086.7800293,1073.14001465,1086.7800293,1073.14001465,1086.7800293,1.01051919326,0.708622441073,0.620555895993,0.766361929337,0.693238112523,0.713600010048,0.924379859768,0.957289171839,0.980660129926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413.69722611,409.745058774,406.448942233,405.931342022,402.827763168,399.089539471,21759.7714844,274.839996338,22928.8359375,274.839996338,23948.984375,274.839996338,44.9466201691,44.9931420832,45.0397121883,45.0863305395,40.1543931683,40.4418605675,40.7322252982,41.0255175377,ADM1,3,3,CPV,CPV-ADM1-35879248B97918647,CV-SL,Sal,ADM1
4,280.229980469,80236.1640625,280.229980469,79163.8359375,280.229980469,78216.546875,280.229980469,77180.03125,280.229980469,76243.484375,280.229980469,75098.8671875,280.229980469,74292.6875,280.229980469,72483.125,280.229980469,73490.390625,280.229980469,71625.859375,280.229980469,70673.90625,1095.40002441,1108.38000488,1095.40002441,1108.38000488,1095.40002441,1108.38000488,1095.40002441,1108.38000488,1095.40002441,1108.38000488,1095.40002441,1108.38000488,1095.40002441,1108.38000488,1095.40002441,1108.38000488,1095.40002441,1108.38000488,1.6060214367,0.874059207924,0.721347789089,1.0106569876,0.898670973558,0.809637918649,1.25550220323,1.59712198824,1.39856732119,18.916666666666668,17.375,20.758333333333333,18.633333333333333,11.725,18.691666666666666,14.291666666666666,18.975,25.70833333333333,25.383333333333333,24.983333333333334,24.8,25.049999999999997,24.35,24.733333333333334,25.125,413.55124839,409.121815174,408.836381906,405.494872526,403.831233044,399.620841581,82158.8828125,280.260009766,76932.640625,280.260009766,71407.5625,280.260009766,43.9657111106,44.0056395469,44.0456023155,44.085603231,40.3936878169,39.0959438577,37.9317143484,36.8903125274,ADM1,4,4,CPV,CPV-ADM1-35879248B69061656,CV-SV,São Vicente,ADM1
5,283.109985352,7173.94384766,283.109985352,7121.44482422,283.109985352,7094.74560547,283.109985352,7050.90136719,283.109985352,7068.02148438,283.109985352,7020.55078125,283.109985352,6990.01660156,283.109985352,6901.89746094,283.109985352,6990.91796875,283.109985352,6873.36474609,283.109985352,6871.93359375,1096.43994141,1115.02001953,1096.43994141,1115.02001953,1096.43994141,1115.02001953,1096.43994141,1115.02001953,1096.43994141,1115.02001953,1096.43994141,1115.02001953,1096.43994141,1115.02001953,1096.43994141,1115.02001953,1096.43994141,1115.02001953,0.0905159491593,0.0319218815199,0.0154570688928,0.0398760397523,0.0500864918908,0.0235347013813,0.0595020031467,0.0993863566317,0.076297487766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412.451357065,409.907726267,408.102388676,405.66272862,403.711637561,399.680182606,7149.61865234,283.139984131,6982.14697266,283.139984131,6759.03613281,283.139984131,44.2650557777,44.304984214,44.3449469825,44.3849478981,37.1773225274,37.8817099328,38.6261732249,39.4113593619,ADM1,5,5,CPV,CPV-ADM1-35879248B71523199,CV-RB,Ribeira Brava,ADM1
6,206.230010986,4900.56982422,206.230010986,4923.23730469,206.230010986,4958.21679688,206.230010986,4972.26660156,206.230010986,5000.55908203,206.230010986,5029.90722656,206.230010986,5046.8671875,206.230010986,5082.06835938,206.230010986,5070.94335938,206.230010986,5155.18261719,206.230010986,5222.19042969,793.059997559,808.930053711,793.059997559,808.930053711,793.059997559,808.930053711,793.059997559,808.930053711,793.059997559,808.930053711,793.059997559,808.930053711,793.059997559,808.930053711,793.059997559,808.930053711,793.059997559,808.930053711,0.119090177762,0.0509109447673,0.0351334151586,0.0711173909518,0.063897079416,0.0469897242026,0.0909682006503,0.130733498816,0.102177342683,18.916666666666668,17.375,20.758333333333333,18.633333333333333,11.725,18.691666666666666,14.291666666666666,18.975,25.70833333333333,25.383333333333333,24.983333333333334,24.8,25.049999999999997,24.35,24.733333333333334,25.125,411.670942823,409.704939508,407.127647278,405.461216361,402.402651009,398.039650615,5084.31542969,206.210006714,5193.125,206.210006714,5258.61523438,206.210006714,44.2175102645,44.2574387008,44.2974014693,44.3374023848,38.9073712356,38.520669974,38.1938325716,37.9261838163,ADM1,6,6,CPV,CPV-ADM1-35879248B20724366,CV-TS,Tarrafal de São Nicolau,ADM1
7,691.679992676,5679.4296875,691.679992676,5785.23535156,691.679992676,5897.08886719,691.679992676,5986.35058594,691.679992676,6104.08984375,691.679992676,6229.24511719,691.679992676,6325.00488281,691.679992676,6526.15820312,691.679992676,6421.79882812,691.679992676,6629.13476562,691.679992676,6806.50683594,2732.50976562,2749.69995117,2732.50976562,2749.69995117,2732.50976562,2749.69995117,2732.50976562,2749.69995117,2732.50976562,2749.69995117,2732.50976562,2749.69995117,2732.50976562,2749.69995117,2732.50976562,2749.69995117,2732.50976562,2749.69995117,0.0970709548415,0.0444469057515,0.0281748940314,0.0479507942309,0.0551251004861,0.0338939125229,0.0741682082422,0.100826005629,0.0893950706562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414.287463591,410.648919509,410.222466635,405.370049858,404.295136689,401.832127614,5896.34472656,691.710021973,6389.16601562,691.710021973,6870.60839844,691.710021973,43.9523467573,43.9899680709,44.0276202468,44.0653052275,41.4607435685,40.0501493897,38.706368086,37.4257845795,ADM1,7,7,CPV,CPV-ADM1-35879248B75225156,CV-PN,Porto Novo,ADM1
8,218.900009155,23496.5683594,218.900009155,22934.9335938,218.900009155,22328.8164062,218.900009155,21607.3554688,218.900009155,21090.8242188,218.900009155,20601.5820312,218.900009155,20019.7050781,218.900009155,18846.8867188,218.900009155,19470.3808594,218.900009155,18434.9589844,218.900009155,18078.6289062,856.380004883,866.199951172,856.380004883,866.199951172,856.380004883,866.199951172,856.380004883,866.199951172,856.380004883,866.199951172,856.380004883,866.199951172,856.380004883,866.199951172,856.380004883,866.199951172,856.380004883,866.199951172,0.177495302819,0.0919056358205,0.0647003644774,0.0679347391355,0.109783350325,0.0732380145341,0.157502600492,0.174317924449,0.164700004228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414.344759221,409.765686542,409.372467565,405.175570905,404.23998237,400.490312439,24289.7851562,218.809997559,21023.078125,218.809997559,18054.34375,218.809997559,44.1510969664,44.1909667415,44.2308721727,44.2708128114,41.0542159813,39.5762499711,38.2405959966,37.0374090446,ADM1,8,8,CPV,CPV-ADM1-35879248B6924994,CV-RG,Ribeira Grande,ADM1
9,65.0099945068,16317.6347656,65.0099945068,16347.9042969,65.0099945068,16295.0410156,65.0099945068,16420.0429688,65.0099945068,16334.2714844,65.0099945068,16225.6347656,65.0099945068,16391.1777344,65.0099945068,16456.3613281,65.0099945068,16375.0957031,65.0099945068,16572.9648438,65.0099945068,16407.5605469,249.739990234,254.989990234,249.739990234,254.989990234,249.739990234,254.989990234,249.739990234,254.989990234,249.739990234,254.989990234,249.739990234,254.989990234,249.739990234,254.989990234,249.739990234,254.989990234,249.739990234,254.989990234,0.239263236798,0.117709909906,0.106042570271,0.070323309261,0.129308921898,0.121831685969,0.204141582343,0.22381757036,0.225727892195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414.282135172,409.863198584,408.760546789,405.392809899,403.823795055,399.415161548,17447.0605469,65.0,17389.9785156,65.0,17184.375,65.0,44.2191013582,44.2590297945,44.2989959961,44.3389934785,35.036881168,35.8184388464,36.6222394455,37.4488526841,ADM1,9,9,CPV,CPV-ADM1-35879248B14734856,CV-PA,Paul,ADM1
