asdf_id,worldpop_pop_count_1km_mosaic.2020.count,worldpop_pop_count_1km_mosaic.2020.sum,worldpop_pop_count_1km_mosaic.2019.count,worldpop_pop_count_1km_mosaic.2019.sum,worldpop_pop_count_1km_mosaic.2018.count,worldpop_pop_count_1km_mosaic.2018.sum,worldpop_pop_count_1km_mosaic.2017.count,worldpop_pop_count_1km_mosaic.2017.sum,worldpop_pop_count_1km_mosaic.2016.count,worldpop_pop_count_1km_mosaic.2016.sum,worldpop_pop_count_1km_mosaic.2015.count,worldpop_pop_count_1km_mosaic.2015.sum,worldpop_pop_count_1km_mosaic.2014.count,worldpop_pop_count_1km_mosaic.2014.sum,worldpop_pop_count_1km_mosaic.2013.count,worldpop_pop_count_1km_mosaic.2013.sum,worldpop_pop_count_1km_mosaic.2012.count,worldpop_pop_count_1km_mosaic.2012.sum,worldpop_pop_count_1km_mosaic.2011.count,worldpop_pop_count_1km_mosaic.2011.sum,worldpop_pop_count_1km_mosaic.2010.count,worldpop_pop_count_1km_mosaic.2010.sum,viirs_ntl_annual_v20_cf_cvg.2020.count,viirs_ntl_annual_v20_cf_cvg.2020.sum,viirs_ntl_annual_v20_cf_cvg.2019.count,viirs_ntl_annual_v20_cf_cvg.2019.sum,viirs_ntl_annual_v20_cf_cvg.2018.count,viirs_ntl_annual_v20_cf_cvg.2018.sum,viirs_ntl_annual_v20_cf_cvg.2017.count,viirs_ntl_annual_v20_cf_cvg.2017.sum,viirs_ntl_annual_v20_cf_cvg.2016.count,viirs_ntl_annual_v20_cf_cvg.2016.sum,viirs_ntl_annual_v20_cf_cvg.2015.count,viirs_ntl_annual_v20_cf_cvg.2015.sum,viirs_ntl_annual_v20_cf_cvg.2013.count,viirs_ntl_annual_v20_cf_cvg.2013.sum,viirs_ntl_annual_v20_cf_cvg.2014.count,viirs_ntl_annual_v20_cf_cvg.2014.sum,viirs_ntl_annual_v20_cf_cvg.2012.count,viirs_ntl_annual_v20_cf_cvg.2012.sum,viirs_ntl_annual_v20_avg_masked.2020.mean,viirs_ntl_annual_v20_avg_masked.2019.mean,viirs_ntl_annual_v20_avg_masked.2018.mean,viirs_ntl_annual_v20_avg_masked.2017.mean,viirs_ntl_annual_v20_avg_masked.2016.mean,viirs_ntl_annual_v20_avg_masked.2013.mean,viirs_ntl_annual_v20_avg_masked.2015.mean,viirs_ntl_annual_v20_avg_masked.2014.mean,viirs_ntl_annual_v20_avg_masked.2012.mean,udel_precip_v501_mean.2017.mean,udel_precip_v501_mean.2016.mean,udel_precip_v501_mean.2015.mean,udel_precip_v501_mean.2014.mean,udel_precip_v501_mean.2013.mean,udel_precip_v501_mean.2011.mean,udel_precip_v501_mean.2012.mean,udel_precip_v501_mean.2010.mean,udel_air_temp_v501_mean.2017.mean,udel_air_temp_v501_mean.2016.mean,udel_air_temp_v501_mean.2015.mean,udel_air_temp_v501_mean.2014.mean,udel_air_temp_v501_mean.2013.mean,udel_air_temp_v501_mean.2012.mean,udel_air_temp_v501_mean.2010.mean,udel_air_temp_v501_mean.2011.mean,oco2_v10r_xco2_yearly.2020.mean,oco2_v10r_xco2_yearly.2019.mean,oco2_v10r_xco2_yearly.2018.mean,oco2_v10r_xco2_yearly.2017.mean,oco2_v10r_xco2_yearly.2016.mean,oco2_v10r_xco2_yearly.2015.mean,gpw_v4_rev11_count.2020.sum,gpw_v4_rev11_count.2020.count,gpw_v4_rev11_count.2015.sum,gpw_v4_rev11_count.2015.count,gpw_v4_rev11_count.2010.sum,gpw_v4_rev11_count.2010.count,ambient_air_pollution_2013_o3.2013.mean,ambient_air_pollution_2013_o3.2012.mean,ambient_air_pollution_2013_o3.2011.mean,ambient_air_pollution_2013_o3.2010.mean,ambient_air_pollution_2013_fus_calibrated.2013.mean,ambient_air_pollution_2013_fus_calibrated.2012.mean,ambient_air_pollution_2013_fus_calibrated.2010.mean,ambient_air_pollution_2013_fus_calibrated.2011.mean,Level,gqid,id,shapeGroup,shapeID,shapeISO,shapeName,shapeType
0,12124.8203125,842176.75,12124.8203125,829919.875,12124.8203125,818179.0625,12124.8203125,806655.375,12124.8203125,794957.8125,12124.8203125,783695.0,12124.8203125,772326.875,12124.8203125,762804.125,12124.8203125,752426.75,12124.8203125,741007.375,12124.8203125,730290.25,48415.5773726,48332.4696474,48415.5773726,48332.4696474,48415.5773726,48332.4696474,48415.5773726,48332.4696474,48415.5773726,48332.4696474,48415.5773726,48332.4696474,48415.5773726,48332.4696474,48415.5773726,48332.4696474,48415.5773726,48332.4696474,0.0959909657086,0.0757143934606,0.0738247164623,0.06108281916,0.0484072080397,0.040083792807,0.0352784533958,0.0350498072761,0.032581506,101.332099284,90.6059347373,114.202853169,115.598187889,113.558851764,126.301286767,104.013959067,124.513623329,27.4061650064,27.3032177265,26.5054393275,26.3666560581,26.246744749,26.3237688321,26.8056764097,26.4133603397,410.985197965,408.341757301,406.813808283,405.964096019,401.028601861,398.265999956,776466.875,12124.7890625,752931.0,12124.7890625,716813.0625,12124.7890625,64.0061238372,64.0334997869,64.0608881595,64.0882878091,25.2906263032,23.2445262717,20.3143275214,21.6201592297,ADM1,0,0,GHA,GHA-ADM1-69750345B51716901,GH-WN,Western North Region,ADM1
1,5976.45019531,585815.6875,5976.45019531,572185.0625,5976.45019531,558553.25,5976.45019531,544906.375,5976.45019531,533436.125,5976.45019531,519902.125,5976.45019531,508888.46875,5976.45019531,496270.53125,5976.45019531,484254.75,5976.45019531,473972.875,5976.45019531,465166.90625,23843.3386993,23783.2799072,23843.3386993,23783.2799072,23843.3386993,23783.2799072,23843.3386993,23783.2799072,23843.3386993,23783.2799072,23843.3386993,23783.2799072,23843.3386993,23783.2799072,23843.3386993,23783.2799072,23843.3386993,23783.2799072,0.2057735065,0.171819987833,0.178297564533,0.142290329022,0.125875784868,0.0743315500193,0.099048184064,0.0824871763463,0.0542392299191,78.4130344435,84.0570881798,102.486933491,105.375543908,102.895496509,114.999890654,102.444264257,99.9153763204,27.5012209642,27.4580852652,26.8082478761,26.5592627654,26.2690541253,26.3152638196,26.8519416038,26.4871463368,412.583534118,409.141363076,406.408818669,407.050606044,401.787194246,399.777415581,543365.5,5975.91992188,503652.53125,5975.91992188,458305.84375,5975.91992188,66.7574834662,66.7907574576,66.8240496163,66.8573587462,20.2902258256,20.4537509482,20.9504571685,20.6736820882,ADM1,1,1,GHA,GHA-ADM1-69750345B88306125,GH-AF,Ahafo Region,ADM1
2,26747.6083984,1163015.17188,26747.6083984,1131436.66406,26747.6083984,1100703.48438,26747.6083984,1071108.6875,26747.6083984,1042703.45312,26747.6083984,1015353.5,26747.6083984,987808.445312,26747.6083984,960970.8125,26747.6083984,935512.46875,26747.6083984,910345.1875,26747.6083984,886005.578125,109476.660156,109328.411621,109476.660156,109328.411621,109476.660156,109328.411621,109476.660156,109328.411621,109476.660156,109328.411621,109476.660156,109328.411621,109476.660156,109328.411621,109476.660156,109328.411621,109476.660156,109328.411621,0.0659668156948,0.0517766902571,0.0545261752218,0.0425193914019,0.0327325384479,0.016420928569,0.0251697339557,0.0211297022479,0.0129924242477,86.6603710503,102.592993135,95.1261471058,105.402059571,105.119463173,116.535228234,110.54966115,103.771280549,28.438517979,28.4701406193,28.060260329,27.8354472171,27.56922008,27.5090832753,28.1416760613,27.7322419392,414.148072514,410.110592863,406.168415849,406.383016,404.442397452,401.042497836,1069241.60156,27405.6015625,973257.75,27405.6015625,871282.445312,27405.6015625,73.2376388993,73.2796083996,73.321602296,73.3636202588,26.7542499156,26.3654167288,25.7139268938,26.0198764871,ADM1,2,2,GHA,GHA-ADM1-69750345B7628285,GH-BE,Bono East Region,ADM1
3,41258.7102051,664852.060547,41258.7102051,647877.491211,41258.7102051,631354.837891,41258.7102051,615639.120117,41258.7102051,598708.200195,41258.7102051,583337.474121,41258.7102051,567900.48291,41258.7102051,550976.002441,41258.7102051,537502.691895,41258.7102051,523552.828613,41258.7102051,511487.092773,166309.196838,166096.151855,166309.196838,166096.151855,166309.196838,166096.151855,166309.196838,166096.151855,166309.196838,166096.151855,166309.196838,166096.151855,166309.196838,166096.151855,166309.196838,166096.151855,166309.196838,166096.151855,0.0211628872489,0.0191264905886,0.0187512094262,0.0187489063194,0.0127332389447,0.00697465182636,0.00873084141044,0.00672617774301,0.00614570855692,61.5269769981,76.9755406499,82.1672455001,87.6479698484,84.0860688907,91.7922827907,96.9114181231,94.204583017,28.8266462073,28.8767266795,28.432909885,28.2170197482,28.00445002,27.8401636588,28.5855180165,28.0659451766,413.326009452,411.391525678,407.389074337,407.148070617,403.835300216,401.603958497,641899.169922,41629.8503113,587229.389648,41629.8503113,527941.212891,41629.8503113,74.5796542277,74.6197359773,74.6598393779,74.6999646419,29.3028823647,28.7775668649,27.9544611462,28.3296850418,ADM1,3,3,GHA,GHA-ADM1-69750345B96642941,GH-SV,Savannah Region,ADM1
4,11046.0195312,672557.0,11046.0195312,649757.5625,11046.0195312,628211.0,11046.0195312,608194.5625,11046.0195312,587100.3125,11046.0195312,568023.6875,11046.0195312,550411.9375,11046.0195312,531655.0,11046.0195312,513314.75,11046.0195312,497631.78125,11046.0195312,482462.9375,44061.9291992,43937.3720703,44061.9291992,43937.3720703,44061.9291992,43937.3720703,44061.9291992,43937.3720703,44061.9291992,43937.3720703,44061.9291992,43937.3720703,44061.9291992,43937.3720703,44061.9291992,43937.3720703,44061.9291992,43937.3720703,0.0623110368198,0.0549499495938,0.0423838862088,0.0425763363258,0.0241588826415,0.0154778970523,0.0145396577584,0.0149800275239,0.017152498822,72.233146697,74.7055874835,83.3708056903,70.9786022373,79.5714750369,83.4802952315,95.1382914971,94.9273753543,29.1195566041,29.0056290285,28.7704848055,28.9150035477,28.733436545,28.5763277383,29.1253191376,28.8732274413,414.428666107,411.823871877,407.770017463,407.227569211,403.493314759,401.315978133,620294.6875,11046.9101562,547976.625,11046.9101562,475657.9375,11046.9101562,65.4373471981,65.4611668879,65.4849954133,65.5088326637,28.0315021108,27.7698633246,27.2935468666,27.5240821887,ADM1,4,4,GHA,GHA-ADM1-69750345B84846727,GH-NE,North East Region,ADM1
5,11775.7607422,789132.3125,11775.7607422,769213.0,11775.7607422,749646.4375,11775.7607422,730832.5625,11775.7607422,712601.125,11775.7607422,694615.25,11775.7607422,677258.8125,11775.7607422,660235.4375,11775.7607422,644216.25,11775.7607422,628169.4375,11775.7607422,612650.9375,52202.6530762,52095.5998535,52202.6530762,52095.5998535,52202.6530762,52095.5998535,52202.6530762,52095.5998535,52202.6530762,52095.5998535,52202.6530762,52095.5998535,52202.6530762,52095.5998535,52202.6530762,52095.5998535,52202.6530762,52095.5998535,0.062574282987,0.0500038037328,0.0477660982003,0.0426503796802,0.0273996421066,0.00993477286118,0.0137554444881,0.0111738198719,0.00847620080517,87.9579940728,104.960206965,89.7138805563,105.309756701,100.141488511,112.168010647,107.928055191,120.728620006,27.9208950106,27.8549917356,27.546094831,27.6055481539,27.5536597414,27.4110836253,27.9522548071,27.5812878725,414.036941775,410.702529602,407.267678518,404.438257689,405.463111277,401.658910547,731580.25,13077.2597656,671502.0,13077.2597656,606102.625,13077.2597656,76.6317944149,76.6728942215,76.7140156998,76.7551598354,26.148163252,25.4335852852,24.1891494578,24.7823096564,ADM1,5,5,GHA,GHA-ADM1-69750345B81656896,GH-OT,Oti Region,ADM1
6,16301.5595703,2168066.75,16301.5595703,2098594.0,16301.5595703,2034833.125,16301.5595703,1972397.375,16301.5595703,1913181.375,16301.5595703,1856618.0,16301.5595703,1803657.25,16301.5595703,1751681.25,16301.5595703,1703839.5,16301.5595703,1658850.5,16301.5595703,1615955.5,65198.90625,65104.1123047,65198.90625,65104.1123047,65198.90625,65104.1123047,65198.90625,65104.1123047,65198.90625,65104.1123047,65198.90625,65104.1123047,65198.90625,65104.1123047,65198.90625,65104.1123047,65198.90625,65104.1123047,0.38272674413,0.327102385905,0.330581360034,0.299111643445,0.22940211637,0.172805326955,0.175689339391,0.157717680652,0.144211184857,124.334412592,103.742738008,117.184685644,121.0252727,133.919268159,127.385163347,101.409306031,141.4844327,27.4124092864,27.3023333487,26.8326642557,26.6596989504,26.5637970749,26.5645970851,27.1741596563,26.827559703,411.013636343,408.56876,405.600252518,404.678383549,399.946453244,399.089323541,2027892.375,16322.2705078,1810518.75,16322.2705078,1609105.125,16322.2705078,60.5598961633,60.5847821285,60.6096784674,60.6345856812,28.422810756,23.8198420864,18.1041620307,20.5086908866,ADM1,6,6,GHA,GHA-ADM1-69750345B90459934,GH-WP,Western Region,ADM1
7,20454.9609375,3305405.25,20454.9609375,3223063.0,20454.9609375,3145667.25,20454.9609375,3067784.25,20454.9609375,2990609.75,20454.9609375,2920406.0,20454.9609375,2850865.0,20454.9609375,2781065.75,20454.9609375,2713282.25,20454.9609375,2652465.25,20454.9609375,2596804.25,88038.8535156,87949.8291016,88038.8535156,87949.8291016,88038.8535156,87949.8291016,88038.8535156,87949.8291016,88038.8535156,87949.8291016,88038.8535156,87949.8291016,88038.8535156,87949.8291016,88038.8535156,87949.8291016,88038.8535156,87949.8291016,0.353053765905,0.297372517807,0.272483986243,0.233811843615,0.169695573125,0.115460555236,0.120522957119,0.116912714798,0.0914603050806,119.785452463,117.927303131,94.3298478293,102.456264305,103.830934182,112.818403373,109.019341112,118.612610895,27.5571759017,27.6286545562,27.5583566058,27.3987046809,27.2574130473,26.9726744185,27.8335537763,27.4772049404,411.417721737,409.991364045,406.00385935,403.678693082,401.978411732,401.502541162,3115760.75,22031.9199219,2864357.5,22031.9199219,2599103.0,22031.9199219,67.7394689488,67.7733908142,67.8073293799,67.8412854693,22.9012448889,22.4770977788,21.9908150655,22.1774943528,ADM1,7,7,GHA,GHA-ADM1-69750345B42926775,GH-EP,Eastern Region,ADM1
8,29132.0406494,2111398.7168,29132.0406494,2036414.11914,29132.0406494,1964978.81836,29132.0406494,1895548.05469,29132.0406494,1832706.49219,29132.0406494,1769199.40625,29132.0406494,1709751.69531,29132.0406494,1654957.5625,29132.0406494,1599578.84375,29132.0406494,1543915.20117,29132.0406494,1491247.90234,116424.214569,116227.612976,116424.214569,116227.612976,116424.214569,116227.612976,116424.214569,116227.612976,116424.214569,116227.612976,116424.214569,116227.612976,116424.214569,116227.612976,116424.214569,116227.612976,116424.214569,116227.612976,0.128264861327,0.1143774747,0.101294157185,0.0941127385184,0.0698474312342,0.0449729240502,0.0472495072903,0.0480183904608,0.0383727228885,73.2054658715,82.1352460559,82.0411161919,81.3542465924,80.1360406423,89.079285079,99.7731596074,94.2599922626,28.8772538625,28.7341059098,28.4697890452,28.5607916106,28.4015767473,28.2304431729,28.8178482987,28.5712112124,413.813814583,411.969035014,408.507898996,406.541287872,404.861868717,401.885420757,1935215.47852,29154.582489,1691010.11133,29154.582489,1459408.94336,29154.582489,73.8396136528,73.8748951401,73.9101943544,73.9455100725,30.2187950847,29.2305731806,27.6074698163,28.3645966164,ADM1,8,8,GHA,GHA-ADM1-69750345B19110859,GH-NP,Northern Region,ADM1
9,11817.0195312,2966693.75,11817.0195312,2881997.25,11817.0195312,2799645.5,11817.0195312,2721956.75,11817.0195312,2640578.75,11817.0195312,2570440.25,11817.0195312,2494791.5,11817.0195312,2421128.25,11817.0195312,2352551.0,11817.0195312,2288674.0,11817.0195312,2224525.75,47173.230957,47075.5493164,47173.230957,47075.5493164,47173.230957,47075.5493164,47173.230957,47075.5493164,47173.230957,47075.5493164,47173.230957,47075.5493164,47173.230957,47075.5493164,47173.230957,47075.5493164,47173.230957,47075.5493164,0.654549931316,0.529891810445,0.536349476106,0.4681649344,0.353798286173,0.257331287218,0.293837649402,0.258740436798,0.181267847554,118.485156111,99.0354652399,95.8910390865,106.692331844,112.520824914,104.336847442,92.8460514182,118.851978348,27.446999957,27.4336060651,27.2608827229,27.0394971201,26.8459484547,26.6997347305,27.4672761327,27.1718594043,410.235490257,408.755509828,405.486683044,404.565852724,400.747917446,399.484808538,2781414.0,11817.7597656,2505282.75,11817.7597656,2218701.5,11817.7597656,62.0629308888,62.091064486,62.1192110106,62.1473702383,25.8403823811,22.1670513977,17.7354633283,19.5812648626,ADM1,9,9,GHA,GHA-ADM1-69750345B53724790,GH-CP,Central Region,ADM1
