asdf_id,worldpop_pop_count_1km_mosaic.2020.count,worldpop_pop_count_1km_mosaic.2020.sum,worldpop_pop_count_1km_mosaic.2019.count,worldpop_pop_count_1km_mosaic.2019.sum,worldpop_pop_count_1km_mosaic.2018.count,worldpop_pop_count_1km_mosaic.2018.sum,worldpop_pop_count_1km_mosaic.2017.count,worldpop_pop_count_1km_mosaic.2017.sum,worldpop_pop_count_1km_mosaic.2016.count,worldpop_pop_count_1km_mosaic.2016.sum,worldpop_pop_count_1km_mosaic.2015.count,worldpop_pop_count_1km_mosaic.2015.sum,worldpop_pop_count_1km_mosaic.2014.count,worldpop_pop_count_1km_mosaic.2014.sum,worldpop_pop_count_1km_mosaic.2013.count,worldpop_pop_count_1km_mosaic.2013.sum,worldpop_pop_count_1km_mosaic.2010.count,worldpop_pop_count_1km_mosaic.2010.sum,worldpop_pop_count_1km_mosaic.2011.count,worldpop_pop_count_1km_mosaic.2011.sum,worldpop_pop_count_1km_mosaic.2012.count,worldpop_pop_count_1km_mosaic.2012.sum,viirs_ntl_annual_v20_cf_cvg.2020.count,viirs_ntl_annual_v20_cf_cvg.2020.sum,viirs_ntl_annual_v20_cf_cvg.2019.count,viirs_ntl_annual_v20_cf_cvg.2019.sum,viirs_ntl_annual_v20_cf_cvg.2018.count,viirs_ntl_annual_v20_cf_cvg.2018.sum,viirs_ntl_annual_v20_cf_cvg.2017.count,viirs_ntl_annual_v20_cf_cvg.2017.sum,viirs_ntl_annual_v20_cf_cvg.2016.count,viirs_ntl_annual_v20_cf_cvg.2016.sum,viirs_ntl_annual_v20_cf_cvg.2015.count,viirs_ntl_annual_v20_cf_cvg.2015.sum,viirs_ntl_annual_v20_cf_cvg.2012.count,viirs_ntl_annual_v20_cf_cvg.2012.sum,viirs_ntl_annual_v20_cf_cvg.2013.count,viirs_ntl_annual_v20_cf_cvg.2013.sum,viirs_ntl_annual_v20_cf_cvg.2014.count,viirs_ntl_annual_v20_cf_cvg.2014.sum,viirs_ntl_annual_v20_avg_masked.2020.mean,viirs_ntl_annual_v20_avg_masked.2019.mean,viirs_ntl_annual_v20_avg_masked.2017.mean,viirs_ntl_annual_v20_avg_masked.2018.mean,viirs_ntl_annual_v20_avg_masked.2016.mean,viirs_ntl_annual_v20_avg_masked.2015.mean,viirs_ntl_annual_v20_avg_masked.2013.mean,viirs_ntl_annual_v20_avg_masked.2014.mean,viirs_ntl_annual_v20_avg_masked.2012.mean,udel_precip_v501_mean.2017.mean,udel_precip_v501_mean.2016.mean,udel_precip_v501_mean.2015.mean,udel_precip_v501_mean.2014.mean,udel_precip_v501_mean.2013.mean,udel_precip_v501_mean.2011.mean,udel_precip_v501_mean.2012.mean,udel_precip_v501_mean.2010.mean,udel_air_temp_v501_mean.2017.mean,udel_air_temp_v501_mean.2016.mean,udel_air_temp_v501_mean.2015.mean,udel_air_temp_v501_mean.2014.mean,udel_air_temp_v501_mean.2012.mean,udel_air_temp_v501_mean.2013.mean,udel_air_temp_v501_mean.2011.mean,udel_air_temp_v501_mean.2010.mean,oco2_v10r_xco2_yearly.2020.mean,oco2_v10r_xco2_yearly.2019.mean,oco2_v10r_xco2_yearly.2018.mean,oco2_v10r_xco2_yearly.2017.mean,oco2_v10r_xco2_yearly.2016.mean,oco2_v10r_xco2_yearly.2015.mean,ambient_air_pollution_2013_o3.2012.mean,ambient_air_pollution_2013_o3.2011.mean,ambient_air_pollution_2013_o3.2013.mean,ambient_air_pollution_2013_o3.2010.mean,ambient_air_pollution_2013_fus_calibrated.2013.mean,ambient_air_pollution_2013_fus_calibrated.2012.mean,ambient_air_pollution_2013_fus_calibrated.2011.mean,ambient_air_pollution_2013_fus_calibrated.2010.mean,gpw_v4_rev11_count.2020.sum,gpw_v4_rev11_count.2020.count,gpw_v4_rev11_count.2015.sum,gpw_v4_rev11_count.2015.count,gpw_v4_rev11_count.2010.sum,gpw_v4_rev11_count.2010.count,gpw_v4_rev11_count.2005.sum,gpw_v4_rev11_count.2005.count,gpw_v4_rev11_count.2000.sum,gpw_v4_rev11_count.2000.count,Level,gqid,shapeGroup,shapeID,shapeISO,shapeName,shapeType
0,37295.7321777,5685239.9375,37295.7321777,5519717.33594,37295.7321777,5358711.625,37295.7321777,5195414.96875,37295.7321777,5043092.73438,37295.7321777,4897688.20312,37295.7321777,4746412.625,37295.7321777,4603360.9375,37295.7321777,4213738.29688,37295.7321777,4338207.52344,37295.7321777,4468820.46094,149187.070007,149014.309692,149187.070007,149014.309692,149187.070007,149014.309692,149187.070007,149014.309692,149187.070007,149014.309692,149187.070007,149014.309692,149187.070007,149014.309692,149187.070007,149014.309692,149187.070007,149014.309692,0.0227892609355,0.0227552296242,0.0252025173362,0.0250225896565,0.0202294593062,0.0225165295865,0.024836139437,0.0258560154966,0.0291298804824,53.7372228118,54.8168502517,57.3667703665,51.9992016245,50.843320233,49.8424116323,53.8767769406,61.4279389207,29.2600716957,29.4848925412,28.9731409682,29.2336387644,29.0006622084,29.2984465007,29.1174197278,29.2152808598,413.177315238,410.033275659,408.314874647,406.032384254,401.23904561,398.746968518,52.5245707505,52.5210647897,52.5280775398,52.5175596586,37.3065528878,35.882310584,34.5373774984,33.2666446764,5461967.90625,37340.2583008,4846760.01562,37340.2583008,4265472.78125,37340.2583008,3752746.67188,37340.2583008,3315322.02344,37340.2583008,ADM1,0,NGA,NGA-ADM1-2878026B92454901,NG-SO,Sokoto,ADM1
1,19716.21875,3383627.75,19716.21875,3276208.0,19716.21875,3174320.5,19716.21875,3075413.25,19716.21875,2979398.75,19716.21875,2890333.0,19716.21875,2786230.25,19716.21875,2699768.25,19716.21875,2461749.5,19716.21875,2535653.5,19716.21875,2614612.5,79216.0458984,79122.4003906,79216.0458984,79122.4003906,79216.0458984,79122.4003906,79216.0458984,79122.4003906,79216.0458984,79122.4003906,79216.0458984,79122.4003906,79216.0458984,79122.4003906,79216.0458984,79122.4003906,79216.0458984,79122.4003906,0.0300177783558,0.0345468233109,0.0511392315923,0.034399732559,0.0427114254405,0.0682032753121,0.0569484700397,0.0560853796701,0.0445466312375,76.0176742877,76.399215722,67.6880151074,66.4964258301,64.7714804453,66.1954622863,94.755223662,89.8288549749,27.3452344081,27.5301250236,27.4211972452,27.1399291202,26.8635147069,27.5320493867,27.0851000208,27.6036920294,410.722337479,408.783445192,407.699979075,406.497725314,402.675133076,400.307822685,57.6197738198,57.6205484826,57.6189995362,57.6213234717,34.7205774894,34.2198010868,33.7686147199,33.3648377276,3214690.75,19827.6992188,2823028.5,19827.6992188,2458654.75,19827.6992188,2140601.5,19827.6992188,1871410.75,19827.6992188,ADM1,1,NGA,NGA-ADM1-2878026B9233885,NG-GO,Gombe,ADM1
2,47373.6401367,5113263.6875,47373.6401367,4970521.5625,47373.6401367,4833726.0625,47373.6401367,4703359.0625,47373.6401367,4575465.5625,47373.6401367,4455466.6875,47373.6401367,4327602.625,47373.6401367,4206863.0,47373.6401367,3861578.6875,47373.6401367,3970510.4375,47373.6401367,4093871.9375,189531.439209,189345.793457,189531.439209,189345.793457,189531.439209,189345.793457,189531.439209,189345.793457,189531.439209,189345.793457,189531.439209,189345.793457,189531.439209,189345.793457,189531.439209,189345.793457,189531.439209,189345.793457,0.0217979056892,0.0246066270462,0.021154943811,0.0225299145023,0.0103187724869,0.0124253949838,0.00714788474136,0.00650374144695,0.00569633921741,99.9293931141,98.2754007082,77.2994772972,91.0712271897,80.184724553,79.213097581,114.107995116,120.832905463,27.093533771,27.1272226961,27.149405166,26.6779068554,26.3414395839,26.9837089112,26.4934808106,26.9821527195,412.784485809,410.186584682,408.030218171,405.266174982,404.121878649,400.498540441,63.4757662137,63.4878024445,63.4637338915,63.4998433711,29.9278955675,29.7597822936,29.6092781686,29.4761074676,4897359.0,47428.4785156,4387870.9375,47428.4785156,3899069.8125,47428.4785156,3463395.375,47428.4785156,3088794.25,47428.4785156,ADM1,2,NGA,NGA-ADM1-2878026B37840865,NG-AD,Adamawa,ADM1
3,41078.9839401,5016018.99512,41078.9839401,4868088.73315,41078.9839401,4723628.08618,41078.9839401,4590546.42529,41078.9839401,4452443.27417,41078.9839401,4325223.60669,41078.9839401,4197313.0979,41078.9839401,4074248.54443,41078.9839401,3716209.58862,41078.9839401,3832079.28442,41078.9839401,3947312.37207,164158.659576,163997.339447,164158.659576,163997.339447,164158.659576,163997.339447,164158.659576,163997.339447,164158.659576,163997.339447,164158.659576,163997.339447,164158.659576,163997.339447,164158.659576,163997.339447,164158.659576,163997.339447,0.0190168199295,0.0191012179554,0.0212694120502,0.0192243492692,0.0144410284933,0.0176441335818,0.0144604885838,0.016862390351,0.0139490405068,71.9658111169,71.792918401,74.9173862363,64.6936440416,69.2057801845,63.3662637082,78.2839740745,72.1583567328,27.8961634311,28.309925116,27.8088924095,27.9617406138,27.7417373351,28.0526833677,28.0557402773,28.1102367472,413.230243278,410.536426308,408.79371802,405.67198529,401.113260983,399.281604884,54.7707314911,54.7727422737,54.7687212276,54.7747537183,33.9820961579,33.5491611378,33.1426231405,32.7606319812,4716860.16357,41079.6510162,4186638.99512,41079.6510162,3685400.97119,41079.6510162,3243104.61841,41079.6510162,2865706.47705,41079.6510162,ADM1,3,NGA,NGA-ADM1-2878026B11077031,NG-ZA,Zamfara,ADM1
4,54821.449707,3779032.875,54821.449707,3656620.84375,54821.449707,3534083.25,54821.449707,3416629.25,54821.449707,3305152.9375,54821.449707,3195856.40625,54821.449707,3096468.6875,54821.449707,2996522.95312,54821.449707,2708381.90625,54821.449707,2801907.35938,54821.449707,2897892.10938,219176.711444,219000.134273,219176.711444,219000.134273,219176.711444,219000.134273,219176.711444,219000.134273,219176.711444,219000.134273,219176.711444,219000.134273,219176.711444,219000.134273,219176.711444,219000.134273,219176.711444,219000.134273,0.013762848671,0.0139048245433,0.00869099031149,0.010638073872,0.00488333605071,0.00529200135653,0.00451281218473,0.00356276940456,0.0052636291431,49.6220218198,53.6299782711,50.0291500105,42.7491081498,47.6903148465,49.8526717492,65.0987225078,55.4816644906,27.6877875068,28.1038964431,27.7217477944,27.8973385855,27.5552846837,28.0998986294,27.7703258261,28.448304888,412.435262387,409.327705671,406.956375001,404.365473757,403.462593542,399.909845488,56.1956236616,56.1910284168,56.200219655,56.1864340588,47.6777148574,45.3615309297,43.2322559334,41.2735783802,3617362.6875,54838.206543,3146925.03125,54838.206543,2715339.29688,54838.206543,2342370.89062,54838.206543,2029084.04688,54838.206543,ADM1,4,NGA,NGA-ADM1-2878026B40661069,NG-YO,Yobe,ADM1
5,86305.8769531,6796736.0,86305.8769531,6574148.0,86305.8769531,6355927.875,86305.8769531,6149550.375,86305.8769531,5946235.1875,86305.8769531,5750868.6875,86305.8769531,5569913.125,86305.8769531,5384869.5,86305.8769531,4879718.6875,86305.8769531,5045218.8125,86305.8769531,5209375.1875,345107.815552,344886.331787,345107.815552,344886.331787,345107.815552,344886.331787,345107.815552,344886.331787,345107.815552,344886.331787,345107.815552,344886.331787,345107.815552,344886.331787,345107.815552,344886.331787,345107.815552,344886.331787,0.0164256949265,0.01732850444,0.0137306838087,0.0139870251962,0.00606400635878,0.00594990523886,0.00534428566966,0.00516927945679,0.00535531699666,56.5043685681,64.3361236345,51.9491297979,47.8992902411,50.2987487653,54.1430874117,63.6127817347,64.4123000991,28.1242656482,28.4276394448,28.1384608112,28.0736839874,27.7204362724,28.3259065813,27.9610524875,28.715348763,412.682159938,410.029558609,407.726507802,405.140137973,402.664286578,399.570707334,55.0470314742,55.0415527516,55.0525111606,55.036075158,41.2075077253,40.5621486835,40.0193956819,39.5815576915,6438778.875,86332.1494141,5619903.1875,86332.1494141,4864774.0,86332.1494141,4209543.6875,86332.1494141,3657307.125,86332.1494141,ADM1,5,NGA,NGA-ADM1-2878026B53614188,NG-BO,Borno,ADM1
6,8041.05957031,6170848.0,8041.05957031,5970475.0,8041.05957031,5787591.5,8041.05957031,5604974.5,8041.05957031,5428170.0,8041.05957031,5253917.0,8041.05957031,5099582.0,8041.05957031,4945483.0,8041.05957031,4458229.5,8041.05957031,4610707.5,8041.05957031,4760262.0,32265.0817871,32208.9008789,32265.0817871,32208.9008789,32265.0817871,32208.9008789,32265.0817871,32208.9008789,32265.0817871,32208.9008789,32265.0817871,32208.9008789,32265.0817871,32208.9008789,32265.0817871,32208.9008789,32265.0817871,32208.9008789,0.474083268412,0.660696214591,1.15179150093,0.731502842536,1.05760322682,1.33580535986,0.504395612023,0.781924695991,0.432662395287,205.153672761,234.229076042,169.74223781,166.861568899,208.007198167,226.153172256,205.301692399,198.716372482,26.5713252539,26.8904956704,26.8310415256,26.4890689461,26.42304853,26.4978611966,26.5658246025,26.9262765999,413.024344646,409.61052475,405.66562928,406.246018395,401.693623291,400.216355301,68.4877724047,68.5346315238,68.4409456219,68.5815245607,18.9621428089,17.9244322938,17.0002174558,16.1758434935,5861048.5,8044.54003906,5143165.0,8044.54003906,4476075.0,8044.54003906,3894269.5,8044.54003906,3402165.5,8044.54003906,ADM1,6,NGA,NGA-ADM1-2878026B89024088,NG-AK,Akwa Ibom,ADM1
7,59153.0102539,7257893.15625,59153.0102539,7037359.76562,59153.0102539,6813603.8125,59153.0102539,6599572.70312,59153.0102539,6394002.07812,59153.0102539,6198028.9375,59153.0102539,6001635.71875,59153.0102539,5814817.96875,59153.0102539,5290919.1875,59153.0102539,5459840.40625,59153.0102539,5636665.5,236385.909454,236158.149101,236385.909454,236158.149101,236385.909454,236158.149101,236385.909454,236158.149101,236385.909454,236158.149101,236385.909454,236158.149101,236385.909454,236158.149101,236385.909454,236158.149101,236385.909454,236158.149101,0.0152648738923,0.0120943190036,0.0146131297966,0.0123621849284,0.0113230745128,0.0171080690421,0.0163375580811,0.0158333776915,0.0124849682702,78.4119038362,80.5027957159,85.7173283702,71.2512675959,74.8788909571,77.1666021193,108.137767069,86.9983220414,26.7193154647,27.0490079786,26.8352085334,26.7474760515,26.5767092386,27.0489008472,26.9035170019,27.3308148575,412.624435996,410.522419688,407.24929458,405.483168329,402.339853983,398.644550123,57.694123344,57.6932822902,57.6949647394,57.6924417035,38.3141296653,37.097252166,35.9734721064,34.9353964481,7036862.875,59152.1416016,6183404.26562,59152.1416016,5388748.10938,59152.1416016,4694721.14062,59152.1416016,4107072.90625,59152.1416016,ADM1,7,NGA,NGA-ADM1-2878026B40324489,NG-BA,Bauchi,ADM1
8,19710.5097656,6533005.5,19710.5097656,6319054.5,19710.5097656,6133353.0,19710.5097656,5946377.0,19710.5097656,5753846.0,19710.5097656,5565754.0,19710.5097656,5409354.0,19710.5097656,5232169.5,19710.5097656,4758507.0,19710.5097656,4917437.0,19710.5097656,5066880.5,78703.6812353,78560.2509718,78703.6812353,78560.2509718,78703.6812353,78560.2509718,78703.6812353,78560.2509718,78703.6812353,78560.2509718,78703.6812353,78560.2509718,78703.6812353,78560.2509718,78703.6812353,78560.2509718,78703.6812353,78560.2509718,0.397110885471,0.280994266814,0.2714469784,0.316452223419,0.224052034519,0.298081455359,0.219549614979,0.233916220313,0.182932170421,108.022309092,104.226413996,103.760418397,122.289659183,91.6728228426,109.516041733,126.011204396,121.826231162,27.6782672263,27.9044970106,27.4951600004,27.2931243159,27.0313267427,27.2451879365,27.2710202918,27.7213709758,412.383868924,409.201554185,406.72887139,405.81649925,402.870227203,400.974381011,77.5034103001,77.5482936108,77.4585540686,77.5932025394,21.538471283,21.3657459013,21.3504625097,21.4852655367,6607513.0,19710.9804688,5811394.5,19710.9804688,5068850.5,19710.9804688,4418922.0,19710.9804688,3867605.25,19710.9804688,ADM1,8,NGA,NGA-ADM1-2878026B98574394,NG-OG,Ogun,ADM1
9,83771.5409384,6241339.71368,83771.5409384,6031635.86444,83771.5409384,5834212.19937,83771.5409384,5637130.31693,83771.5409384,5455749.04178,83771.5409384,5275187.99042,83771.5409384,5098564.86575,83771.5409384,4931414.22766,83771.5409384,4456809.71667,83771.5409384,4609759.85287,83771.5409384,4770619.01678,337252.50153,336967.054863,337252.50153,336967.054863,337252.50153,336967.054863,337252.50153,336967.054863,337252.50153,336967.054863,337252.50153,336967.054863,337252.50153,336967.054863,337252.50153,336967.054863,337252.50153,336967.054863,0.0200151991352,0.0233972635306,0.0225844618478,0.0208617499076,0.0210885161391,0.0296964610526,0.0280032195896,0.0303638591738,0.0217553883147,88.8934546189,88.9344455641,95.2641785502,87.7699662735,82.8192354824,74.4260043455,106.294685927,77.2920569549,27.9290775972,27.9010717842,27.9238617382,27.8175523383,27.6741405657,27.778018593,27.9966957778,28.1540012629,411.748554216,410.593949237,408.57295601,405.963678616,402.274066427,399.515369579,70.2477564842,70.2706450264,70.2248761031,70.2935414425,30.7964982582,30.8467028332,30.9130521329,30.995779285,5950026.97382,84384.1535912,5174341.99048,84384.1535912,4469135.79382,84384.1535912,3863006.48169,84384.1535912,3355722.30853,84384.1535912,ADM1,9,NGA,NGA-ADM1-2878026B90588298,NG-NI,Niger,ADM1
