asdf_id,viirs_ntl_annual_v20_avg_masked.2019.max,viirs_ntl_annual_v20_avg_masked.2019.mean,viirs_ntl_annual_v20_avg_masked.2019.min,viirs_ntl_annual_v20_avg_masked.2019.sum,viirs_ntl_annual_v20_avg_masked.2019.count,viirs_ntl_annual_v20_avg_masked.2014.max,viirs_ntl_annual_v20_avg_masked.2014.mean,viirs_ntl_annual_v20_avg_masked.2014.min,viirs_ntl_annual_v20_avg_masked.2014.sum,viirs_ntl_annual_v20_avg_masked.2014.count,viirs_ntl_annual_v20_avg_masked.2012.max,viirs_ntl_annual_v20_avg_masked.2012.mean,viirs_ntl_annual_v20_avg_masked.2012.min,viirs_ntl_annual_v20_avg_masked.2012.sum,viirs_ntl_annual_v20_avg_masked.2012.count,viirs_ntl_annual_v20_avg_masked.2016.max,viirs_ntl_annual_v20_avg_masked.2016.mean,viirs_ntl_annual_v20_avg_masked.2016.min,viirs_ntl_annual_v20_avg_masked.2016.sum,viirs_ntl_annual_v20_avg_masked.2016.count,viirs_ntl_annual_v20_avg_masked.2015.max,viirs_ntl_annual_v20_avg_masked.2015.mean,viirs_ntl_annual_v20_avg_masked.2015.min,viirs_ntl_annual_v20_avg_masked.2015.sum,viirs_ntl_annual_v20_avg_masked.2015.count,viirs_ntl_annual_v20_avg_masked.2013.max,viirs_ntl_annual_v20_avg_masked.2013.mean,viirs_ntl_annual_v20_avg_masked.2013.min,viirs_ntl_annual_v20_avg_masked.2013.sum,viirs_ntl_annual_v20_avg_masked.2013.count,viirs_ntl_annual_v20_avg_masked.2017.max,viirs_ntl_annual_v20_avg_masked.2017.mean,viirs_ntl_annual_v20_avg_masked.2017.min,viirs_ntl_annual_v20_avg_masked.2017.sum,viirs_ntl_annual_v20_avg_masked.2017.count,viirs_ntl_annual_v20_avg_masked.2020.max,viirs_ntl_annual_v20_avg_masked.2020.mean,viirs_ntl_annual_v20_avg_masked.2020.min,viirs_ntl_annual_v20_avg_masked.2020.sum,viirs_ntl_annual_v20_avg_masked.2020.count,viirs_ntl_annual_v20_avg_masked.2018.max,viirs_ntl_annual_v20_avg_masked.2018.mean,viirs_ntl_annual_v20_avg_masked.2018.min,viirs_ntl_annual_v20_avg_masked.2018.sum,viirs_ntl_annual_v20_avg_masked.2018.count,ambient_air_pollution_2013_fus_calibrated.1990.mean,ambient_air_pollution_2013_fus_calibrated.1995.mean,ambient_air_pollution_2013_fus_calibrated.2000.mean,ambient_air_pollution_2013_fus_calibrated.2005.mean,ambient_air_pollution_2013_fus_calibrated.2010.mean,ambient_air_pollution_2013_fus_calibrated.2011.mean,ambient_air_pollution_2013_fus_calibrated.2012.mean,ambient_air_pollution_2013_fus_calibrated.2013.mean,oco2_v10r_xco2_yearly.2015.mean,oco2_v10r_xco2_yearly.2015.max,oco2_v10r_xco2_yearly.2015.min,oco2_v10r_xco2_yearly.2017.mean,oco2_v10r_xco2_yearly.2017.max,oco2_v10r_xco2_yearly.2017.min,oco2_v10r_xco2_yearly.2019.mean,oco2_v10r_xco2_yearly.2019.max,oco2_v10r_xco2_yearly.2019.min,oco2_v10r_xco2_yearly.2020.mean,oco2_v10r_xco2_yearly.2020.max,oco2_v10r_xco2_yearly.2020.min,oco2_v10r_xco2_yearly.2018.mean,oco2_v10r_xco2_yearly.2018.max,oco2_v10r_xco2_yearly.2018.min,oco2_v10r_xco2_yearly.2016.mean,oco2_v10r_xco2_yearly.2016.max,oco2_v10r_xco2_yearly.2016.min,Level,gqid,shapeGroup,shapeID,shapeISO,shapeName,shapeType
0,26.477394104,0.0227552296242,0.0,3392.88401267,149187.070007,23.1772956848,0.0258560154966,0.0,3856.66449475,149187.070007,26.5880699158,0.0291298804824,0.0,4344.89164019,149187.070007,19.6861286163,0.0202294593062,0.0,3016.97307897,149187.070007,21.5450592041,0.0225165295865,0.0,3358.17256904,149187.070007,23.4252967834,0.024836139437,0.0,3704.60813093,149187.070007,18.3745079041,0.0252025173362,0.0,3757.39743185,149187.070007,22.3198814392,0.0227892609355,0.0,3398.19569916,149187.070007,25.6206874847,0.0250225896565,0.0,3730.68302369,149187.070007,34.7170100722,34.5213680626,34.3624271779,34.7586557532,33.2666446764,34.5373774984,35.882310584,37.3065528878,398.746968518,401.82254,388.385650001,406.032384254,408.882685,402.95674,410.033275659,411.91055,406.950747643,413.177315238,415.744347739,405.676760001,408.314874647,411.0155,401.93253,401.23904561,405.5581925,397.3796,ADM1,0,NGA,NGA-ADM1-2878026B92454901,NG-SO,Sokoto,ADM1
1,28.4283390045,0.0345468233109,0.0,2735.70814514,79216.0458984,42.7240142822,0.0560853796701,0.0,4441.84838867,79216.0458984,27.264093399,0.0445466312375,0.0,3527.90722656,79216.0458984,24.6230545044,0.0427114254405,0.0,3382.86187744,79216.0458984,36.8534355164,0.0682032753121,0.0,5401.61682129,79216.0458984,40.9811820984,0.0569484700397,0.0,4510.45474243,79216.0458984,26.6675949097,0.0511392315923,0.0,4050.11837769,79216.0458984,26.9370441437,0.0300177783558,0.0,2377.01665497,79216.0458984,27.1819610596,0.034399732559,0.0,2724.54330444,79216.0458984,33.6208960614,33.3899804987,33.190187743,34.4085153688,33.3648377276,33.7686147199,34.2198010868,34.7205774894,400.307822685,402.4033075,397.876865,406.497725314,408.92435,404.619149611,408.783445192,411.586098432,402.13116,410.722337479,413.38176375,408.6718,407.699979075,411.027332499,398.902680001,402.675133076,405.2840975,401.075849167,ADM1,1,NGA,NGA-ADM1-2878026B9233885,NG-GO,Gombe,ADM1
2,15.5959873199,0.0246066270462,0.0,4663.42773056,189531.439209,7.84712266922,0.00650374144695,0.0,1232.80273247,189531.439209,6.59003067017,0.00569633921741,0.0,1079.80393314,189531.439209,8.02698326111,0.0103187724869,0.0,1956.06164598,189531.439209,10.1515731812,0.0124253949838,0.0,2354.76932335,189531.439209,9.18514251709,0.00714788474136,0.0,1354.78176308,189531.439209,10.8600645065,0.021154943811,0.0,4009.53787231,189531.439209,14.1395196915,0.0217979056892,0.0,4130.95988464,189531.439209,14.8810071945,0.0225299145023,0.0,4269.7567749,189531.439209,29.6720895645,29.4886200759,29.308624318,32.0197963547,29.4761074676,29.6092781686,29.7597822936,29.9278955675,400.498540441,404.214831538,395.827687917,405.266174982,409.621899999,398.47754,410.186584682,415.7259175,403.75379,412.784485809,418.2983,407.309480258,408.030218171,411.9946,402.298801819,404.121878649,407.84573,396.66248,ADM1,2,NGA,NGA-ADM1-2878026B37840865,NG-AD,Adamawa,ADM1
3,19.0873069763,0.0191012179554,0.0,3137.51747131,164158.659576,38.4420204163,0.016862390351,0.0,2769.83625889,164158.659576,13.0941076279,0.0139490405068,0.0,2291.39131165,164158.659576,26.314496994,0.0144410284933,0.0,2372.03688812,164158.659576,39.9712142944,0.0176441335818,0.0,2898.20482254,164158.659576,29.3597126007,0.0144604885838,0.0,2375.52203655,164158.659576,19.738067627,0.0212694120502,0.0,3493.68025208,164158.659576,14.6224336624,0.0190168199295,0.0,3123.607234,164158.659576,15.1848487854,0.0192243492692,0.0,3158.0933075,164158.659576,35.4919940903,35.2540448597,35.0515371088,34.3324239433,32.7606319812,33.1426231405,33.5491611378,33.9820961579,399.281604884,403.12625,388.385650001,405.67198529,408.15106,402.46176,410.536426308,412.08032,409.453933947,413.230243278,415.72131875,405.967026667,408.79371802,410.964766666,402.1332,401.113260983,406.12582,396.142966,ADM1,3,NGA,NGA-ADM1-2878026B11077031,NG-ZA,Zamfara,ADM1
4,16.0566387177,0.0139048245433,0.0,3043.21122742,219176.711444,7.66635417938,0.00356276940456,0.0,779.17115891,219176.711444,9.36090946198,0.0052636291431,0.0,1151.21716785,219176.711444,8.41755008698,0.00488333605071,0.0,1068.31689835,219176.711444,9.19021606445,0.00529200135653,0.0,1157.66939807,219176.711444,9.27972126007,0.00451281218473,0.0,986.8789711,219176.711444,11.7783756256,0.00869099031149,0.0,1901.53242111,219176.711444,14.0380134583,0.013762848671,0.0,3012.02502728,219176.711444,22.0019702911,0.010638073872,0.0,2328.42979431,219176.711444,43.0559906175,42.8651170612,42.7085680796,42.6980239035,41.2735783802,43.2322559334,45.3615309297,47.6777148574,399.909845488,402.7968025,397.926587052,404.365473757,408.92435,400.162933334,409.327705671,414.5196475,402.6654,412.435262387,415.22693,409.940471111,406.956375001,411.2564,401.3682315,403.462593542,405.935385,397.615028334,ADM1,4,NGA,NGA-ADM1-2878026B40661069,NG-YO,Yobe,ADM1
5,37.6572341919,0.01732850444,0.0,5973.82042265,345107.815552,9.84186458588,0.00516927945679,0.0,1781.13827312,345107.815552,13.4223127365,0.00535531699666,0.0,1845.65363669,345107.815552,11.4859886169,0.00606400635878,0.0,2089.92776109,345107.815552,12.4541549683,0.00594990523886,0.0,2050.53794613,345107.815552,10.9723377228,0.00534428566966,0.0,1841.39334583,345107.815552,29.5010528564,0.0137306838087,0.0,4732.55503273,345107.815552,26.7696094513,0.0164256949265,0.0,5663.42657089,345107.815552,31.9195747375,0.0139870251962,0.0,4821.37870359,345107.815552,39.7876659782,39.6230537873,39.4834252868,40.6707562622,39.5815576915,40.0193956819,40.5621486835,41.2075077253,399.570707334,403.554019999,393.351795,405.140137973,408.92435,399.896345,410.029558609,414.67174,402.798580001,412.682159938,416.98665,407.503055179,407.726507802,411.091095,402.139500001,402.664286578,406.597365999,395.619876667,ADM1,5,NGA,NGA-ADM1-2878026B53614188,NG-BO,Borno,ADM1
6,1611.63037109,0.660696214591,0.0,21272.6508789,32265.0817871,1559.09411621,0.781924695991,0.0,25170.8237305,32265.0817871,964.978759766,0.432662395287,0.0,13910.6018066,32265.0817871,2074.09619141,1.05760322682,0.0,34035.7880859,32265.0817871,3377.39526367,1.33580535986,0.0,42996.6865234,32265.0817871,248.868164062,0.504395612023,0.0,16184.7553711,32265.0817871,3502.07324219,1.15179150093,0.0,37064.1601562,32265.0817871,1344.21435547,0.474083268412,0.0,15255.2587891,32265.0817871,3046.15185547,0.731502842536,0.0,23554.6245117,32265.0817871,16.7486324051,16.82113228,16.7711059869,18.4909103099,16.1758434935,17.0002174558,17.9244322938,18.9621428089,400.216355301,404.30948,393.910660781,406.246018395,406.405835311,405.941075539,409.61052475,410.4721533,408.658135261,413.024344646,414.012170833,411.661045,405.66562928,406.901268656,404.00055,401.693623291,403.724305,399.708031275,ADM1,6,NGA,NGA-ADM1-2878026B89024088,NG-AK,Akwa Ibom,ADM1
7,14.1343126297,0.0120943190036,0.0,2855.63818264,236385.909454,26.5478973389,0.0158333776915,0.0,3739.37160015,236385.909454,16.9074516296,0.0124849682702,0.0,2948.74397819,236385.909454,12.5117483139,0.0113230745128,0.0,2674.9454248,236385.909454,17.176651001,0.0171080690421,0.0,4041.52752924,236385.909454,23.8465976715,0.0163375580811,0.0,3857.69612682,236385.909454,12.0383644104,0.0146131297966,0.0,3451.57549918,236385.909454,14.4396524429,0.0152648738923,0.0,3605.35155034,236385.909454,16.0530910492,0.0123621849284,0.0,2919.10037541,236385.909454,36.1541636358,35.8948388961,35.6599109104,37.4868786536,34.9353964481,35.9734721064,37.097252166,38.3141296653,398.644550123,401.685553,392.300742,405.483168329,407.390596667,402.7384,410.522419688,413.648974545,405.658303333,412.624435996,416.145758999,408.277336053,407.24929458,411.096299999,401.062976667,402.339853983,405.32573,396.57333,ADM1,7,NGA,NGA-ADM1-2878026B40324489,NG-BA,Bauchi,ADM1
8,33.3416442871,0.280994266814,0.0,22036.2571411,78703.6812353,26.5440559387,0.233916220313,0.0,18341.5731812,78703.6812353,30.0144290924,0.182932170421,0.0,14344.909584,78703.6812353,23.1337127686,0.224052034519,0.0,17571.3828087,78703.6812353,30.6559867859,0.298081455359,0.0,23380.5838013,78703.6812353,26.7916374207,0.219549614979,0.0,17215.0016098,78703.6812353,25.2818527222,0.2714469784,0.0,21293.4157333,78703.6812353,32.657207489,0.397110885471,0.0,31151.1548767,78703.6812353,40.3602867126,0.316452223419,0.0,24821.2119675,78703.6812353,23.8900567016,23.4543563339,23.1289202491,24.7749665018,21.4852655367,21.3504625097,21.3657459013,21.538471283,400.974381011,404.050517845,396.876298756,405.81649925,407.909664,405.225920614,409.201554185,411.261210833,406.4481875,412.383868924,416.4331,408.476722461,406.72887139,409.65188,404.42174,402.870227203,404.914058,400.495056569,ADM1,8,NGA,NGA-ADM1-2878026B98574394,NG-OG,Ogun,ADM1
9,33.8050842285,0.0233972635306,0.0,7877.86394668,337252.50153,31.1376304626,0.0303638591738,0.0,10224.0211158,337252.50153,20.5392341614,0.0217553883147,0.0,7327.88098705,337252.50153,30.2041854858,0.0210885161391,0.0,7099.70111465,337252.50153,44.5685997009,0.0296964610526,0.0,9997.45852184,337252.50153,18.4481658936,0.0280032195896,0.0,9429.13759136,337252.50153,28.6452064514,0.0225844618478,0.0,7602.8973999,337252.50153,16.8683757782,0.0200151991352,0.0,6737.68861458,337252.50153,29.4993686676,0.0208617499076,0.0,7024.34881592,337252.50153,32.5478845168,32.1486450109,31.7637998617,32.7211813396,30.995779285,30.9130521329,30.8467028332,30.7964982582,399.515369579,405.47766,392.126950001,405.963678616,408.78209,400.55362,410.593949237,413.2239,406.010820001,411.748554216,415.85666,404.63687,408.57295601,411.53616,403.984285,402.274066427,407.43687,396.598700001,ADM1,9,NGA,NGA-ADM1-2878026B90588298,NG-NI,Niger,ADM1
